array_element_name	array_element_type	organism	is_control	locus	description	chromosome	start	stop
244921_s_at	oligonucleotide	Arabidopsis thaliana	no	ATMG01000	hypothetical protein	M	260993	261118
244922_s_at	oligonucleotide	Arabidopsis thaliana	no	AT2G07674;ATMG01010	[AT2G07674, similar to hypothetical protein BrnapMp048 [Brassica napus] (GB:YP_717145.1); contains domain PD020792 (PD020792)];[ATMG01010, hypothetical protein]	[AT2G07674, 2];[ATMG01010, M]	[AT2G07674, 3269549];[ATMG01010, 261296]	[AT2G07674, 3269712];[ATMG01010, 261459]
244923_s_at	oligonucleotide	Arabidopsis thaliana	no	ATMG01020	hypothetical protein	M	261667	262072
244924_at	oligonucleotide	Arabidopsis thaliana	no	ATMG01040	hypothetical protein	M	270245	270559
244925_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00510	NADH dehydrogenase subunit 7	M	134761	138153
244926_s_at	oligonucleotide	Arabidopsis thaliana	no	AT2G07712;ATMG00520	[AT2G07712, pseudogene, similar to maturase-related protein, blastp match of 86% identity and 2.9e-305 P-value to GP|840924|gb|AAA67711.1||U09988 maturase-related protein {Glycine max}];[ATMG00520, hypothetical protein]	[AT2G07712, 2];[ATMG00520, M]	[AT2G07712, 3400881];[ATMG00520, 144451]	[AT2G07712, 3401318];[ATMG00520, 144888]
244927_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00530;AT2G07776	[ATMG00530, hypothetical protein];[AT2G07776, Identical to Uncharacterized mitochondrial protein AtMg00530  [Arabidopsis Thaliana] (GB:P93308;GB:Q0WM92); similar to unnamed protein product [Vitis vinifera] (GB:CAO47179.1)]	[ATMG00530, M];[AT2G07776, 2]	[ATMG00530, 147300];[AT2G07776, 3246052]	[ATMG00530, 147598];[AT2G07776, 3246350]
244928_s_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00570;AT2G07716	[ATMG00570, encodes a protein of unknown function. The transcript has extensive RNA editing at the 3' end. Protein has orthologous in other plants and sequence is similar to E. coli ORFs orf154 and orf131, both of unknown function. So far, similar proteins are found only in plants and prokaryotes.];[AT2G07716, pseudogene, similar to orfx, blastp match of 85% identity and 5.5e-116 P-value to GP|287897|emb|CAA42649.1||X60046 orfx {Oenothera berteriana}]	[ATMG00570, M];[AT2G07716, 2]	[ATMG00570, 157791];[AT2G07716, 3414323]	[ATMG00570, 158240];[AT2G07716, 3414772]
244929_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00580	NADH dehydrogenase subunit 4	M	164130	169674
244930_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00600	hypothetical protein	M	174231	174515
244931_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00630	hypothetical protein	M	183135	183429
244932_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01060	Encodes the PsaC subunit of photosystem I.	C	117320	117541
244933_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01070	NADH dehydrogenase ND4L	C	117815	118098
244934_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01080	NADH dehydrogenase ND6	C	118383	118905
244935_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01090	Encodes subunit of the chloroplast NAD(P)H dehydrogenase complex	C	119318	119762
244936_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01100	NADH dehydrogenase ND1	C	119863	121519
244937_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01110	Encodes the 49KDa plastid NAD(P)H dehydrogenase subunit H protein.  Its transcription is regulated by an ndhF-specific plastid sigma factor, SIG4.	C	122035	122544
244938_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01120	encodes a chloroplast ribosomal protein S15, a constituent of the small subunit of the ribosomal complex	C	123362	123523
244939_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00065	chloroplast gene encoding ribosomal protein s12. The gene is located in three distinct loci on the chloroplast genome and is transpliced to make one transcript.	C	69611	69724
244940_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01230;ATCG00905	[ATCG01230, chloroplast gene encoding ribosomal protein s12. The gene is located in three distinct loci on the chloroplast genome and is transpliced to make one transcript.];[ATCG00905, chloroplast gene encoding ribosomal protein s12. The gene is located in three distinct loci on the chloroplast genome and is transpliced to make one transcript.]	[ATCG01230, C];[ATCG00905, C]	[ATCG01230, 139877];[ATCG00905, 97999]	[ATCG01230, 140087];[ATCG00905, 98746]
244941_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00010	hypothetical protein	M	303	718
244942_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00050	hypothetical protein	M	16903	17229
244943_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00070	NADH dehydrogenase subunit 9	M	23682	24131
244944_s_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00080;ATMG00090	[ATMG00080, encodes a mitochondrial ribosomal protein L16, which is a constituent of the large ribosomal subunit];[ATMG00090, ribosomal protein S3]	[ATMG00080, M];[ATMG00090, M]	[ATMG00080, 25486];[ATMG00090, 25486]	[ATMG00080, 25602];[ATMG00090, 25602]
244945_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00110	Encodes a mitochondria-encoded cytochrome c biogenesis protein.	M	30510	31063
244946_at	oligonucleotide	Arabidopsis thaliana	no	no_match	no_match	no_match	no_match	no_match
244947_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00130	hypothetical protein	M	34250	34544
244948_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00140	hypothetical protein	M	34605	35092
244949_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00150	hypothetical protein	M	35784	36083
244950_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00160	cytochrome c oxidase subunit 2	M	40517	42375
244951_s_at	oligonucleotide	Arabidopsis thaliana	no	AT2G07723;ATMG00180	[AT2G07723, pseudogene, similar to orf454~homology with two ORFs from Marchantia polymorpha mtDNA (orf169 and orf322), high similarity to 3'-terminal part of ccl1 of Rhodobacter, blastp match of 76% identity and 3.4e-193 P-value to GP|459537|emb|CAA54966.1||X78036 orf454~homology with two ORFs from Marchantia polymorpha mtDNA (orf169 and orf322), high similarity to 3'-terminal part of ccl1 of Rhodobacter {Oenothera berteriana}];[ATMG00180, cytochrome c biogenesis orf452]	[AT2G07723, 2];[ATMG00180, M]	[AT2G07723, 3441976];[ATMG00180, 51351]	[AT2G07723, 3442485];[ATMG00180, 51860]
244952_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00260	hypothetical protein	M	76158	76425
244953_s_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00270;AT2G07731	[ATMG00270, NADH dehydrogenase subunit 6];[AT2G07731, pseudogene, similar to NADH-ubiquinone oxidoreductase chain 6 (EC 1.6.5.3). (Field mustard), blastp match of 96% identity and 3.7e-99 P-value to SP|Q01825|NU6M_ARATH NADH-ubiquinone oxidoreductase chain 6 (EC 1.6.5.3). (Field mustard) {Brassica campestris}]	[ATMG00270, M];[AT2G07731, 2]	[ATMG00270, 76653];[AT2G07731, 3467274]	[ATMG00270, 77156];[AT2G07731, 3467777]
244954_s_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00280;AT2G07732	[ATMG00280, hypothetical protein];[AT2G07732, pseudogene, similar to ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, blastp match of 96% identity and 3.2e-94 P-value to GP|17939362|gb|AAA33356.2||L22440 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit {Gyrostemon tepperi}]	[ATMG00280, M];[AT2G07732, 2]	[ATMG00280, 77963];[AT2G07732, 3468583]	[ATMG00280, 78146];[AT2G07732, 3468766]
244955_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00320	hypothetical protein	M	91019	91375
244956_s_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00310;AT2G07737	[ATMG00310, hypothetical protein];[AT2G07737, transposable element gene]	[ATMG00310, M];[AT2G07737, 2]	[ATMG00310, 90894];[AT2G07737, 3481470]	[ATMG00310, 91337];[AT2G07737, 3481913]
244957_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00400	hypothetical protein	M	110954	111388
244958_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00450	hypothetical protein	M	119411	119697
244959_s_at	oligonucleotide	Arabidopsis thaliana	no	AT2G07708;ATMG00500;ATMG00490	[AT2G07708, Identical to Uncharacterized mitochondrial protein AtMg00500  [Arabidopsis Thaliana] (GB:P93305); similar to hypothetical protein BrnapMp004 [Brassica napus] (GB:YP_717103.1)];[ATMG00500, hypothetical protein];[ATMG00490, hypothetical protein]	[AT2G07708, 2];[ATMG00500, M];[ATMG00490, M]	[AT2G07708, 3387348];[ATMG00500, 130968];[ATMG00490, 130968]	[AT2G07708, 3387519];[ATMG00500, 131139];[ATMG00490, 131139]
244960_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01020	encodes a chloroplast ribosomal protein L32, a constituent of the large subunit of the ribosomal complex	C	113457	113580
244961_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01040	hypothetical protein	C	114857	115401
244962_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01050	Represents a plastid-encoded subunit of a NAD(P)H dehydrogenase complex.  Its mRNA is edited at four positions.  Translation data is not available for this gene.	C	115682	116257
244963_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00570	PSII cytochrome b559	C	63942	64049
244964_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00580	PSII cytochrome b559. There have been many speculations about the function of Cyt b559, but the most favored at present is that it plays a protective role by acting as an electron acceptor or electron donor under conditions when electron flow through PSII is not optimized.	C	64088	64307
244965_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00590	hypothetical protein	C	65712	65804
244966_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00600	Cytochrome b6-f complex, subunit V. Disruption of homologous gene in Chlamydomonas results in disruption of cytochrome b6-f complex.	C	66012	66111
244967_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00630	Encodes subunit J of photosystem I.	C	66935	67058
244968_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00640	encodes a chloroplast ribosomal protein L33, a constituent of the large subunit of the ribosomal complex	C	67512	67677
244969_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00650	chloroplast-encoded ribosomal protein S18	C	67926	68215
244970_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00660	encodes a chloroplast ribosomal protein L20, a constituent of the large subunit of the ribosomal complex	C	68557	68853
244971_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00670	Encodes the only ClpP (caseinolytic protease) encoded within the plastid genome.  Contains a highly conserved catalytic triad of Ser-type proteases (Ser-His-Asp). Part of the 350 kDa chloroplast Clp complex. The name reflects nomenclature described in Adam et. al (2001).	C	69930	71861
244972_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00680	encodes for CP47, subunit of the photosystem II reaction center.	C	73336	73801
244973_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00690	Encodes photosystem II 5 kD protein subunit PSII-T. This is a plastid-encoded gene (PsbTc) which also has a nuclear-encoded paralog (PsbTn).	C	74085	74134
244974_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00700	PSII low MW protein	C	74251	74380
244975_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00710	Encodes a 8 kD phosphoprotein that is a component of the photosystem II oxygen evolving core. Its exact molecular function has not been determined but it may play a role in mediating electron transfer between the secondary quinone acceptors, QA and QB, associated with the acceptor side of PSII.	C	74485	74694
244976_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00720	Encodes the cytochrome b(6) subunit of the cytochrome b6f complex.	C	75713	76244
244977_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00730	A chloroplast gene encoding subunit IV of the cytochrome b6/f complex	C	77265	77628
244978_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00740	RNA polymerase alpha subunit	C	77987	78489
244979_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00750	30S chloroplast ribosomal protein S11	C	78978	79298
244980_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00760	encodes a chloroplast ribosomal protein L36, a constituent of the large subunit of the ribosomal complex	C	79494	79571
244981_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00770	chloroplast 30S ribosomal protein S8	C	80078	80470
244982_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00780	encodes a chloroplast ribosomal protein L14, a constituent of the large subunit of the ribosomal complex	C	80701	81059
244983_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00790	chloroplast gene encoding a ribosomal protein L16, which is a constituent of 50S large ribosomal subunit	C	81254	81543
244984_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00800	encodes a chloroplast ribosomal protein S3, a constituent of the small subunit of the ribosomal complex	C	82879	83316
244985_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00810	encodes a chloroplast ribosomal protein L22, a constituent of the large subunit of the ribosomal complex	C	83473	83899
244986_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00820	Encodes a 6.8-kDa protein of the small ribosomal subunit.	C	84005	84262
244987_s_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01310;ATCG00830	[ATCG01310, encodes a chloroplast ribosomal protein L2, a constituent of the large subunit of the ribosomal complex];[ATCG00830, encodes a chloroplast ribosomal protein L2, a constituent of the large subunit of the ribosomal complex]	[ATCG01310, C];[ATCG00830, C]	[ATCG01310, 153061];[ATCG00830, 84338]	[ATCG01310, 154311];[ATCG00830, 85588]
244988_s_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00840;ATCG01300	[ATCG00840, One of two chloroplast genes that encode chloroplast ribosomal protein L23, a constituent of the large subunit of the ribosomal complex];[ATCG01300, One of two chloroplast genes that encode  chloroplast ribosomal protein L23, a constituent of the large subunit of the ribosomal complex]	[ATCG00840, C];[ATCG01300, C]	[ATCG00840, 85876];[ATCG01300, 152567]	[ATCG00840, 86082];[ATCG01300, 152773]
244989_s_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00860;ATCG01280	[ATCG00860, Encodes an unknown protein. This gene is regulated by AtSIG6 transcriptionally.];[ATCG01280, hypothetical protein]	[ATCG00860, C];[ATCG01280, C]	[ATCG00860, 92762];[ATCG01280, 145412]	[ATCG00860, 93237];[ATCG01280, 145887]
244990_s_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00870;ATCG01270	[ATCG00870, hypothetical protein];[ATCG01270, hypothetical protein]	[ATCG00870, C];[ATCG01270, C]	[ATCG00870, 93496];[ATCG01270, 144930]	[ATCG00870, 93719];[ATCG01270, 145153]
244991_s_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01250;ATCG00890	[ATCG01250, NADH dehydrogenase ND2];[ATCG00890, NADH dehydrogenase ND2]	[ATCG01250, C];[ATCG00890, C]	[ATCG01250, 143137];[ATCG00890, 94941]	[ATCG01250, 143708];[ATCG00890, 95512]
244992_s_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00900;ATCG01240	[ATCG00900, encodes a chloroplast ribosomal protein S7, a constituent of the small subunit of the ribosomal complex];[ATCG01240, 30S chloroplast ribosomal protein S7]	[ATCG00900, C];[ATCG01240, C]	[ATCG00900, 97478];[ATCG01240, 140704]	[ATCG00900, 97945];[ATCG01240, 141171]
244993_s_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01000;ATCG01130	[ATCG01000, hypothetical protein];[ATCG01130, hypothetical protein]	[ATCG01000, C];[ATCG01130, C]	[ATCG01000, 109930];[ATCG01130, 128305]	[ATCG01000, 110344];[ATCG01130, 128719]
244994_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01010	Chloroplast encoded  NADH dehydrogenase unit.	C	110447	110950
244995_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00150	Encodes a subunit of ATPase complex CF0, which is a proton channel that supplies the proton motive force to drive ATP synthesis by CF1 portion of the complex.	C	14228	14546
244996_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00160	Chloroplast ribosomal protein S2	C	15376	15612
244997_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00170	RNA polymerase beta' subunit-2	C	16069	16463
244998_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00180	RNA polymerase beta' subunit-1	C	20423	20808
244999_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00190	Chloroplast DNA-dependent RNA polymerase B subunit. The transcription of this gene is regulated by a nuclear encoded RNA polymerase. This gene has been transferred to mitochondrial genome during crucifer evolution.	C	23166	23686
245000_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00210	hypothetical protein	C	28091	28176
245001_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00220	PSII low MW protein	C	28731	28803
245002_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00270	PSII D2 protein	C	33173	33721
245003_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00280	chloroplast gene encoding a CP43 subunit of  the photosystem II reaction center. promoter contains a blue-light responsive element.	C	34547	35058
245004_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00300	encodes PsbZ, which is a subunit of photosystem II. In Chlamydomonas, this protein has been shown to be essential in the interaction between PS II and the light harvesting complex II.	C	35751	35939
245005_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00330	30S chloroplast ribosomal protein S14	C	36959	37185
245006_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00340	Encodes the D1 subunit of photosystem I  and II reaction centers.	C	37381	37918
245007_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00350	Encodes psaA protein comprising the reaction center for photosystem I along with psaB protein; hydrophobic protein encoded by the chloroplast genome.	C	39631	40196
245008_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00360	Encodes a protein required for photosystem I assembly and stability. In Chlamydomonas reinhardtii, this protein seems to act as a PSI specific chaperone facilitating the assembly of the complex by interacting with PsaA and PsaD. A loss of function mutation in tobacco leads to a loss of photosystem I.	C	42586	43697
245009_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00380	Chloroplast encoded ribosomal protein S4	C	45317	45736
245010_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00420	Encodes NADH dehydrogenase subunit J.  Its transcription is increased upon sulfur depletion.	C	48704	49130
245011_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00430	Encodes a protein which was originally thought to be part of photosystem II but its wheat homolog was later shown to encode for subunit K of NADH dehydrogenase.	C	49267	49855
245012_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00440	Encodes NADH dehydrogenase D3 subunit of the chloroplast NAD(P)H dehydrogenase complex	C	50045	50342
245013_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00470	ATPase epsilon subunit	C	52272	52653
245014_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00480	chloroplast-encoded gene for beta subunit of ATP synthase	C	52689	53204
245015_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00490	large subunit of RUBISCO.	C	56053	56375
245016_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00500	Encodes the carboxytransferase beta subunit of the Acetyl-CoA carboxylase (ACCase) complex in plastids. This complex catalyzes the carboxylation of acetyl-CoA to produce malonyl-CoA, the first committed step in fatty acid synthesis.	C	57955	58519
245017_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00510	Encodes subunit I of photosystem I.	C	59248	59338
245018_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00520	Encodes a protein required for photosystem I assembly and stability. In cyanobacteria, loss of function mutation in this gene increases PSII/PSI ratio without any influence on photoautotrophic growth.	C	59838	60311
245019_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00530	hypothetical protein	C	60930	61403
245020_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00540	Encodes cytochrome f apoprotein; involved in photosynthetic electron transport chain; encoded by the chloroplast genome and is transcriptionally repressed by a nuclear gene HCF2.	C	62062	62552
245021_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00550	PSII component	C	63538	63660
245022_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00560	PSII L protein	C	63805	63920
245023_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00080	PSII I protein	C	7583	7691
245024_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00120	Encodes the ATPase alpha subunit, which is a subunit of ATP synthase and part of the CF1 portion which catalyzes the conversion of ADP to ATP using the proton motive force. This complex is located in the thylakoid membrane of the chloroplast.	C	9950	10526
245025_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00130	ATPase F subunit.	C	11654	12783
245026_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00140	ATPase III subunit	C	13271	13484
245027_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26550	HO2 (HEME OXYGENASE 2); heme oxygenase (decyclizing)	2	11298668	11300139
245028_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26570	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G33390.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO61337.1); contains InterPro domain Protein of unknown function DUF827, plant (InterPro:IPR008545)	2	11308608	11309084
245029_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26580	YAB5 (YABBY5); transcription factor	2	11311813	11312725
245030_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26620	glycoside hydrolase family 28 protein / polygalacturonase (pectinase) family protein	2	11332291	11332849
245031_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26360	binding	2	11228701	11229204
245032_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26630	transposable element gene	2	11335245	11335767
245033_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26380	disease resistance protein-related / LRR protein-related	2	11233697	11234277
245034_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26390	serpin, putative / serine protease inhibitor, putative	2	11236247	11236741
245035_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26400	ARD/ATARD3 (ACIREDUCTONE DIOXYGENASE); acireductone dioxygenase [iron(II)-requiring]/ heteroglycan binding / metal ion binding	2	11239142	11240349
245036_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26410	IQD4 (IQ-domain 4); calmodulin binding	2	11241811	11242314
245037_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26420	PIP5K3; 1-phosphatidylinositol-4-phosphate 5-kinase	2	11246608	11247545
245038_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26560	PLP2 (PHOSPHOLIPASE A 2A); nutrient reservoir	2	11301003	11301962
245039_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26600	glycosyl hydrolase family 17 protein	2	11324610	11325293
245040_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26520	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G57500.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN81423.1)	2	11287400	11287765
245041_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26530	AR781	2	11290213	11290707
245042_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26540	HEMD; uroporphyrinogen-III synthase	2	11294753	11296665
245043_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26430	RCY1 (ARGININE-RICH CYCLIN 1); cyclin-dependent protein kinase regulator	2	11250511	11251324
245044_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26500	cytochrome b6f complex subunit (petM), putative	2	11277457	11277788
245045_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26590	adhesion regulating molecule family	2	11318283	11320837
245046_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26510	PDE135 (PIGMENT DEFECTIVE EMBRYO 135); transmembrane transporter	2	11283557	11284542
245047_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00020	Encodes chlorophyll binding protein D1, a part of the photosystem II reaction center core	C	399	948
245048_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00040	Encodes a maturase located in the trnK intron in the chloroplast genome.	C	2151	2649
