agi	family	occurences	databases		
AT4G22950	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT1G23380	HB	3	agris2.csv	peking2.csv	riken2.csv
AT5G15820	C3H	2	agris2.csv	peking2.csv	
AT3G43240	ARID	2	agris2.csv	peking2.csv	
AT5G46910	JUMONJI	2	peking2.csv	riken2.csv	
AT1G57557	MYB	2	peking2.csv	riken2.csv	
AT4G16750	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT3G01080	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT1G69170	SBP	3	agris2.csv	peking2.csv	riken2.csv
AT1G74650	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT1G60380	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT4G04890	HB	3	agris2.csv	peking2.csv	riken2.csv
AT3G50410	C2C2-DOF	2	agris2.csv	peking2.csv	
AT3G61630	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT3G11260	HB	3	agris2.csv	peking2.csv	riken2.csv
AT5G52020	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT3G16770	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT1G77570	HSF	2	peking2.csv	riken2.csv	
AT5G03720	HSF	3	agris2.csv	peking2.csv	riken2.csv
AT5G65790	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT2G42830	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT1G66500	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT2G17180	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT1G59640	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT1G65360	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT2G27300	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT1G26960	HB	3	agris2.csv	peking2.csv	riken2.csv
AT1G28160	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT1G58220	MYB	2	peking2.csv	riken2.csv	
AT3G18550	TCP	3	agris2.csv	peking2.csv	riken2.csv
AT5G62430	C2C2-DOF	2	agris2.csv	peking2.csv	
AT1G28470	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT1G80390	AUX/IAA	2	peking2.csv	riken2.csv	
AT1G68520	C2C2-CO-LIKE	2	agris2.csv	peking2.csv	
AT1G44830	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT5G05610	ALFIN-LIKE	2	agris2.csv	riken2.csv	
AT2G23340	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT1G01720	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT2G28550	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT5G09750	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT3G14980	PHD	2	agris2.csv	peking2.csv	
AT3G23240	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT4G33450	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT5G06100	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT2G01570	GRAS	3	agris2.csv	peking2.csv	riken2.csv
AT2G46400	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT4G38960	C2C2-CO-LIKE	2	agris2.csv	peking2.csv	
AT1G01350	C2H2	2	agris2.csv	riken2.csv	
AT1G33060	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT5G62320	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT5G04390	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT2G35940	HB	3	agris2.csv	peking2.csv	riken2.csv
AT5G44160	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT3G05860	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT1G75430	HB	3	agris2.csv	peking2.csv	riken2.csv
AT1G64530	NIN-LIKE	2	peking2.csv	riken2.csv	
AT2G20110	CPP	3	agris2.csv	peking2.csv	riken2.csv
AT5G39860	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT1G33240	TRIHELIX	3	agris2.csv	peking2.csv	riken2.csv
AT5G06510	CCAAT-HAP2	2	agris2.csv	peking2.csv	
AT5G44210	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT5G12870	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT4G21341	bHLH	2	peking2.csv	riken2.csv	
AT5G58610	PHD	2	agris2.csv	peking2.csv	
AT4G02560	HB	2	agris2.csv	peking2.csv	
AT5G14280	GEBP	2	agris2.csv	peking2.csv	
AT5G03415	E2F/DP	2	peking2.csv	riken2.csv	
AT5G41315	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT1G11510	GEBP	2	agris2.csv	peking2.csv	
AT3G27780	MYB	2	agris2.csv	riken2.csv	
AT2G37000	TCP	3	agris2.csv	peking2.csv	riken2.csv
AT4G36870	HB	3	agris2.csv	peking2.csv	riken2.csv
AT3G60630	GRAS	3	agris2.csv	peking2.csv	riken2.csv
AT2G30590	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT5G48560	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT5G45050	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT4G12020	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT3G61250	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT3G56980	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT3G56660	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT3G10000	TRIHELIX	3	agris2.csv	peking2.csv	riken2.csv
AT5G05790	MYB	2	peking2.csv	riken2.csv	
AT3G10580	MYB	2	peking2.csv	riken2.csv	
AT1G54760	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT5G52660	MYB	2	peking2.csv	riken2.csv	
AT5G05120	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT5G49620	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT1G18710	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT3G24310	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT2G41940	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT5G41090	NAC	2	peking2.csv	riken2.csv	
AT1G66140	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT5G58890	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT2G12900	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT2G14760	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT4G24240	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT1G28050	C2C2-CO-LIKE	2	agris2.csv	peking2.csv	
AT3G49760	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT3G02790	C2H2	2	agris2.csv	peking2.csv	
AT4G35040	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT2G24340	bZIP	2	agris2.csv	riken2.csv	
AT5G42640	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT4G18170	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT5G59450	GRAS	3	agris2.csv	peking2.csv	riken2.csv
AT2G19380	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT5G50820	NAC	2	peking2.csv	riken2.csv	
AT4G29000	CPP	3	agris2.csv	peking2.csv	riken2.csv
AT3G03200	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT4G28110	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT4G30935	WRKY	2	peking2.csv	riken2.csv	
AT1G63040	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT5G04760	MYB	2	peking2.csv	riken2.csv	
AT3G04420	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT1G01380	MYB	2	peking2.csv	riken2.csv	
AT1G69570	C2C2-DOF	2	agris2.csv	peking2.csv	
AT4G18450	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT3G48590	CCAAT-HAP5	2	agris2.csv	peking2.csv	
AT2G31370	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT1G19850	ARF	3	agris2.csv	peking2.csv	riken2.csv
AT3G53680	PHD	2	agris2.csv	peking2.csv	
AT5G64811	WRKY	2	peking2.csv	riken2.csv	
AT4G12240	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT3G53820	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT5G07100	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT3G26744	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT4G17810	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT5G06950	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT4G34410	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT4G28530	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT1G28420	HB	3	agris2.csv	peking2.csv	riken2.csv
AT4G17230	GRAS	3	agris2.csv	peking2.csv	riken2.csv
AT1G61110	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT4G17460	HB	3	agris2.csv	peking2.csv	riken2.csv
AT1G19700	HB	3	agris2.csv	peking2.csv	riken2.csv
AT3G11580	ABI3VP1	2	peking2.csv	riken2.csv	
AT3G04430	NAC	2	peking2.csv	riken2.csv	
AT5G60850	C2C2-DOF	2	agris2.csv	peking2.csv	
AT1G65200	C2H2	2	agris2.csv	riken2.csv	
AT5G05410	AP2EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT2G24840	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT2G44745	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT3G50700	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT3G49930	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT4G30080	ABI3VP1	2	agris2.csv	riken2.csv	
AT5G62470	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT1G21910	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT2G26940	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT2G17150	NIN-LIKE	2	peking2.csv	riken2.csv	
AT2G30250	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT3G14230	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT5G65210	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT3G19290	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT1G80730	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT2G22900	CAMTA	2	agris2.csv	peking2.csv	
AT4G15250	C2C2-CO-LIKE	2	agris2.csv	peking2.csv	
AT2G01940	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT5G50670	SBP	2	peking2.csv	riken2.csv	
AT2G47260	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT2G33710	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT3G11200	ALFIN-LIKE	2	agris2.csv	riken2.csv	
AT5G39810	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT4G17570	C2C2-GATA	2	agris2.csv	peking2.csv	
AT1G20980	SBP	3	agris2.csv	peking2.csv	riken2.csv
AT5G04640	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT5G05770	HB	3	agris2.csv	peking2.csv	riken2.csv
AT1G34310	ARF	3	agris2.csv	peking2.csv	riken2.csv
AT4G25470	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT3G17609	bZIP	2	peking2.csv	riken2.csv	
AT3G03450	GRAS	3	agris2.csv	peking2.csv	riken2.csv
AT4G11250	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT3G01220	HB	3	agris2.csv	peking2.csv	riken2.csv
AT2G27990	HB	3	agris2.csv	peking2.csv	riken2.csv
AT3G03260	HB	3	agris2.csv	peking2.csv	riken2.csv
AT1G43700	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT2G22670	AUX/IAA	2	peking2.csv	riken2.csv	
AT4G26440	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT2G27650	C2H2	2	agris2.csv	riken2.csv	
AT1G18750	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT3G57670	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT1G66600	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT5G18680	TUB	3	agris2.csv	peking2.csv	riken2.csv
AT4G04450	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT2G38950	JUMONJI	3	agris2.csv	peking2.csv	riken2.csv
AT5G23280	TCP	3	agris2.csv	peking2.csv	riken2.csv
AT1G48000	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT2G31730	bHLH	2	agris2.csv	peking2.csv	
AT3G20640	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT3G01470	HB	3	agris2.csv	peking2.csv	riken2.csv
AT4G17750	HSF	3	agris2.csv	peking2.csv	riken2.csv
AT5G61590	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT1G54060	TRIHELIX	3	agris2.csv	peking2.csv	riken2.csv
AT1G20710	HB	3	agris2.csv	peking2.csv	riken2.csv
AT3G10500	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT2G24790	C2C2-CO-LIKE	2	agris2.csv	peking2.csv	
AT1G42990	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT3G56400	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT1G35540	ARF	3	agris2.csv	peking2.csv	riken2.csv
AT5G19790	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT2G40210	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT5G67000	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT1G73870	C2C2-CO-LIKE	2	agris2.csv	peking2.csv	
AT5G62165	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT3G63350	HSF	3	agris2.csv	peking2.csv	riken2.csv
AT2G47270	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT3G56770	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT3G04850	CPP	3	agris2.csv	peking2.csv	riken2.csv
AT3G58120	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT1G63100	GRAS	3	agris2.csv	peking2.csv	riken2.csv
AT5G54630	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT1G61730	GEBP	2	agris2.csv	peking2.csv	
AT3G13960	GRF	2	agris2.csv	peking2.csv	
AT1G65300	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT2G04880	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT5G08190	CCAAT-DR1	2	agris2.csv	peking2.csv	
AT5G65330	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT3G29035	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT5G38740	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT5G08070	TCP	3	agris2.csv	peking2.csv	riken2.csv
AT3G56530	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT4G36900	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT4G27240	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT3G10040	TRIHELIX	2	peking2.csv	riken2.csv	
AT3G44350	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT2G16770	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT4G39160	MYB	2	peking2.csv	riken2.csv	
AT5G26650	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT3G47710	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT5G59820	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT2G40620	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT4G35550	HB	3	agris2.csv	peking2.csv	riken2.csv
AT5G22290	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT2G21235	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT2G25820	AP2-EREBP	2	agris2.csv	peking2.csv	
AT2G03710	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT5G25890	AUX/IAA	2	peking2.csv	riken2.csv	
AT2G46990	AUX/IAA	2	peking2.csv	riken2.csv	
AT3G22780	CPP	3	agris2.csv	peking2.csv	riken2.csv
AT1G32510	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT5G02660	C2H2	2	agris2.csv	riken2.csv	
AT5G15150	HB	3	agris2.csv	peking2.csv	riken2.csv
AT1G74660	ZF-HD	2	agris2.csv	peking2.csv	
AT3G04730	AUX/IAA	2	peking2.csv	riken2.csv	
AT3G26790	ABI3VP1	3	agris2.csv	peking2.csv	riken2.csv
AT3G44290	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT4G31795	WRKY	2	peking2.csv	riken2.csv	
AT1G68360	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT3G57600	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT4G00870	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT1G05805	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT5G11050	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT1G29860	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT2G36450	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT5G10570	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT3G54320	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT5G61600	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT3G11020	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT3G16350	MYB	2	peking2.csv	riken2.csv	
AT3G16940	CAMTA	2	agris2.csv	peking2.csv	
AT4G05170	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT1G16490	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT1G19490	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT5G46830	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT5G07690	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT5G43410	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT2G46680	HB	3	agris2.csv	peking2.csv	riken2.csv
AT4G32800	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT1G64100	NAC	2	peking2.csv	riken2.csv	
AT3G28470	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT5G08330	TCP	3	agris2.csv	peking2.csv	riken2.csv
AT5G39820	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT5G43250	CCAAT-HAP5	2	agris2.csv	peking2.csv	
AT3G02940	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT5G18450	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT4G16430	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT5G65080	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT2G33880	HB	3	agris2.csv	peking2.csv	riken2.csv
AT5G01900	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT1G34790	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT2G40200	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT1G43160	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT3G17100	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT2G37260	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT4G17980	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT1G60300	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT5G56110	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT5G43175	bHLH	2	agris2.csv	peking2.csv	
AT5G65320	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT1G22380	bHLH	2	agris2.csv	peking2.csv	
AT1G52890	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT5G44080	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT5G55690	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT1G60240	NAC	2	peking2.csv	riken2.csv	
AT5G18300	NAC	2	peking2.csv	riken2.csv	
AT5G60200	C2C2-DOF	2	agris2.csv	peking2.csv	
AT1G03970	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT1G77450	NAC	3	agris2.csv	peking2.csv	riken2.csv
AT3G13350	ARID	2	agris2.csv	peking2.csv	
AT2G27230	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT3G42790	ALFIN-LIKE	2	agris2.csv	riken2.csv	
AT1G68810	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT4G39780	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT5G43540	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT4G11660	HSF	3	agris2.csv	peking2.csv	riken2.csv
AT3G24050	C2C2-GATA	2	agris2.csv	peking2.csv	
AT1G05710	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT1G69010	bHLH	2	agris2.csv	peking2.csv	
AT3G57920	SBP	3	agris2.csv	peking2.csv	riken2.csv
AT1G68130	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT5G23090	CCAAT-DR1	2	agris2.csv	peking2.csv	
AT5G35550	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT5G07580	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT1G65120	C2H2	2	agris2.csv	riken2.csv	
AT4G29080	AUX/IAA	2	peking2.csv	riken2.csv	
AT3G04100	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT3G25890	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT5G14140	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT1G49120	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT5G27910	CCAAT-HAP5	2	agris2.csv	peking2.csv	
AT4G39410	WRKY	3	agris2.csv	peking2.csv	riken2.csv
AT3G16160	CPP	3	agris2.csv	peking2.csv	riken2.csv
AT4G09450	MYB	2	peking2.csv	riken2.csv	
AT1G69780	HB	3	agris2.csv	peking2.csv	riken2.csv
AT4G28140	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT3G22100	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT2G46870	ABI3VP1	2	peking2.csv	riken2.csv	
AT3G18100	MYB	2	peking2.csv	riken2.csv	
AT2G18280	TUB	3	agris2.csv	peking2.csv	riken2.csv
AT1G31640	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT4G09960	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT4G39070	C2C2-CO-LIKE	2	agris2.csv	peking2.csv	
AT5G15310	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT3G10470	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT5G38860	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT2G18550	HB	3	agris2.csv	peking2.csv	riken2.csv
AT5G66700	HB	3	agris2.csv	peking2.csv	riken2.csv
AT2G26320	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT5G48150	GRAS	3	agris2.csv	peking2.csv	riken2.csv
AT5G52260	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT1G21450	GRAS	3	agris2.csv	peking2.csv	riken2.csv
AT3G12820	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT5G09460	bHLH	3	agris2.csv	peking2.csv	riken2.csv
AT5G04240	JUMONJI	2	peking2.csv	riken2.csv	
AT5G16600	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT1G54830	CCAAT-HAP5	2	agris2.csv	peking2.csv	
AT5G06500	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT3G45260	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT4G02640	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT5G11510	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT4G09460	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT2G17950	HB	3	agris2.csv	peking2.csv	riken2.csv
AT5G37020	ARF	3	agris2.csv	peking2.csv	riken2.csv
AT5G46880	HB	3	agris2.csv	peking2.csv	riken2.csv
AT2G23740	C2H2	3	agris2.csv	peking2.csv	riken2.csv
AT1G22640	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT5G60440	MADS	3	agris2.csv	peking2.csv	riken2.csv
AT3G45610	C2C2-DOF	2	agris2.csv	peking2.csv	
AT3G08500	MYB	3	agris2.csv	peking2.csv	riken2.csv
AT4G17490	AP2-EREBP	3	agris2.csv	peking2.csv	riken2.csv
AT1G50670	C2H2	2	agris2.csv	riken2.csv	
AT4G38900	bZIP	3	agris2.csv	peking2.csv	riken2.csv
AT5G60480	ZF-HD	2	agris2.csv	peking2.csv	
AT5G40120	MADS	3	agris2.csv	peking2.csv	riken2.csv
