agi	family
AT1G65300	MADS
AT1G65330	MADS
AT1G65360	MADS
AT1G65910	NAC
AT1G66140	C2H2
AT1G66230	MYB
AT1G66350	GRAS
AT1G66370	MYB
AT1G66380	MYB
AT1G66390	MYB
AT1G66420	GEBP
AT1G66470	BHLH
AT1G66500	C2H2
AT1G66550	WRKY
AT1G66560	WRKY
AT1G66600	WRKY
AT1G67030	C2H2
AT1G67260	TCP
AT1G67910	CAMTA
AT1G67970	HSF
AT1G68130	C2H2
AT1G68150	WRKY
AT1G68190	C2C2-CO-LIKE
AT1G68200	C3H
AT1G68240	BHLH
AT1G68320	MYB
AT1G68360	C2H2
AT1G68480	C2H2
AT1G68520	C2C2-CO-LIKE
AT1G68550	AP2/EREBP
AT1G68640	BZIP
AT1G68800	TCP
AT1G68810	BHLH
AT1G68840	AP2/EREBP
AT1G68880	BZIP
AT1G68920	BHLH
AT1G69010	BHLH
AT1G69120	MADS
AT1G69170	SBP
AT1G69180	C2C2-YABBY
AT1G69310	WRKY
AT1G69490	NAC
AT1G69540	MADS
AT1G69560	MYB
AT1G69570	C2C2-DOF
AT1G69600	ZF-HD
AT1G69690	TCP
At1g69780	HD-Zip I
AT1G69810	WRKY
AT1G70000	MYB
At1g70510	KNOX
At1g70920	HD-Zip II
AT1G71030	MYB
AT1G71130	AP2/EREBP
AT1G71200	BHLH
AT1G71450	AP2/EREBP
AT1G71520	AP2/EREBP
AT1G71692	MADS
AT1G71930	NAC
AT1G72010	TCP
AT1G72050	C2H2
AT1G72210	BHLH
AT1G72350	MADS
AT1G72360	AP2/EREBP
AT1G72570	AP2/EREBP
AT1G72650	MYB
AT1G72740	MYB
AT1G72830	CCAAT-HAP2
At1g73360	HD-Zip IV
AT1G73410	MYB
AT1G73730	EIL
AT1G73830	BHLH
AT1G73870	C2C2-CO-LIKE
AT1G74080	MYB
AT1G74250	C2H2
AT1G74430	MYB
AT1G74480	NIN-LIKE
AT1G74500	BHLH
AT1G74650	MYB
AT1G74660	ZF-HD
AT1G74840	MYB
AT1G74930	AP2/EREBP
AT1G75240	ZF-HD
AT1G75390	BZIP
At1g75410	BEL
At1g75430	BEL
AT1G75490	AP2/EREBP
AT1G75540	C2C2-CO-LIKE
AT1G75710	C2H2
AT1G76110	ARID
AT1G76350	NIN-LIKE
AT1G76420	NAC
AT1G76510	ARID
AT1G76580	SBP
AT1G76880	TRIHELIX
AT1G76890	TRIHELIX
AT1G76900	TUB
AT1G77080	MADS
AT1G77200	AP2/EREBP
AT1G77450	NAC
AT1G77570	HSF
AT1G77640	AP2/EREBP
AT1G77850	ARF
AT1G77920	BZIP
AT1G77950	MADS
AT1G77980	MADS
AT1G78080	AP2/EREBP
AT1G78600	C2C2-CO-LIKE
AT1G79180	MYB
AT1G79580	NAC
AT1G79700	AP2/EREBP
At1g79840	HD-Zip IV
AT1G80390	AUX/IAA
AT1G80580	AP2/EREBP
AT1G80590	WRKY
AT1G80730	C2H2
AT1G80840	WRKY
AT2G01200	AUX/IAA
AT2G01370	GEBP
At2g01430	HD-Zip II
At2g01500	WOX
AT2G01570	GRAS
AT2G01650	C2H2
AT2G01940	C2H2
AT2G02070	C2H2
AT2G02080	C2H2
AT2G02450	NAC
AT2G02470	ALFIN-LIKE
AT2G02540	ZF-HD
AT2G02825	MYB
AT2G03060	MADS
AT2G03340	WRKY
AT2G03710	MADS
AT2G04038	BZIP
AT2G04880	WRKY
AT2G04890	GRAS
AT2G06200	GRF
AT2G12900	BZIP
AT2G12980	BZIP
AT2G13130	BZIP
AT2G13150	BZIP
AT2G13570	CCAAT-HAP3
AT2G13960	MYB
AT2G14210	MADS
AT2G14760	BHLH
AT2G15660	MADS
AT2G15740	C2H2
At2g16400	BEL
AT2G16720	MYB
AT2G16770	BZIP
AT2G16910	BHLH
AT2G17040	NAC
AT2G17150	NIN-LIKE
AT2G17180	C2H2
AT2G17770	BZIP
At2g17950	WOX
AT2G18060	NAC
AT2G18160	BZIP
AT2G18280	TUB
AT2G18300	BHLH
AT2G18350	ZF-HD
AT2G18380	C2C2-GATA
AT2G18490	C2H2
At2g18550	HD-Zip I
AT2G19380	C2H2
AT2G20095	BHLH
AT2G20110	CPP
AT2G20180	BHLH
AT2G20350	AP2/EREBP
AT2G20880	AP2/EREBP
AT2G21230	BZIP
AT2G21235	BZIP
AT2G21320	C2C2-CO-LIKE
AT2G21900	WRKY
AT2G22200	AP2/EREBP
At2g22430	HD-Zip I
AT2G22540	MADS
AT2G22630	MADS
AT2G22670	AUX/IAA
AT2G22750	BHLH
AT2G22760	BHLH
AT2G22770	BHLH
At2g22800	HD-Zip II
AT2G22840	GRF
AT2G22850	BZIP
AT2G22900	CAMTA
AT2G23290	MYB
AT2G23320	WRKY
AT2G23340	AP2/EREBP
AT2G23740	C2H2
At2g23760	BEL
AT2G24260	BHLH
AT2G24340	BZIP
AT2G24430	NAC
AT2G24500	C2H2
AT2G24570	WRKY
AT2G24790	C2C2-CO-LIKE
AT2G24840	MADS
AT2G25000	WRKY
AT2G25230	MYB
AT2G25650	GEBP
AT2G25820	AP2/EREBP
AT2G26150	HSF
AT2G26320	MADS
AT2G26580	C2C2-YABBY
AT2G26880	MADS
AT2G26940	C2H2
AT2G26950	MYB
AT2G26960	MYB
AT2G27050	EIL
AT2G27100	C2H2
At2g27220	BEL
AT2G27230	BHLH
AT2G27300	NAC
AT2G27630	C2H2
AT2G27650	C2H2
At2g27990	BEL
AT2G28160	BHLH
AT2G28200	C2H2
AT2G28340	C2C2-GATA
AT2G28350	ARF
AT2G28510	C2C2-DOF
AT2G28550	AP2/EREBP
At2g28610	WOX
AT2G28700	MADS
AT2G28710	C2H2
AT2G28810	C2C2-DOF
AT2G29060	GRAS
AT2G29660	C2H2
AT2G30250	WRKY
AT2G30420	MYB
AT2G30470	ABI3/VP1
AT2G30590	WRKY
AT2G31070	TCP
AT2G31180	MYB
AT2G31210	BHLH
AT2G31215	BHLH
AT2G31220	BHLH
AT2G31230	AP2/EREBP
AT2G31280	BHLH
AT2G31370	BZIP
AT2G31730	BHLH
At2g32370	HD-Zip IV
AT2G32460	MYB
AT2G33310	AUX/IAA
AT2G33480	NAC
AT2G33500	C2C2-CO-LIKE
AT2G33550	TRIHELIX
AT2G33710	AP2/EREBP
AT2G33810	SBP
AT2G33860	ARF
At2g33880	WOX
AT2G34140	C2C2-DOF
AT2G34240	C2H2
AT2G34440	MADS
At2g34710	HD-Zip III
AT2G34720	CCAAT-HAP2
AT2G34820	BHLH
AT2G34830	WRKY
AT2G34880	JUMONJI
AT2G35530	BZIP
AT2G35640	TRIHELIX
AT2G35670	C2H2
AT2G35700	AP2/EREBP
At2g35940	BEL
AT2G36010	E2F/DP
AT2G36080	ABI3/VP1
AT2G36270	BZIP
AT2G36340	GEBP
AT2G36400	GRF
AT2G36450	AP2/EREBP
AT2G36475	C2H2
At2g36610	HD-Zip I
AT2G36720	PHD
AT2G36890	MYB
AT2G36930	C2H2
AT2G37000	TCP
AT2G37060	CCAAT-HAP3
AT2G37260	WRKY
AT2G37430	C2H2
AT2G37590	C2C2-DOF
AT2G37630	MYB
AT2G37650	GRAS
AT2G37740	C2H2
AT2G38090	MYB
AT2G38250	TRIHELIX
AT2G38340	AP2/EREBP
AT2G38470	WRKY
AT2G38880	CCAAT-HAP3
AT2G38950	JUMONJI
AT2G39250	AP2/EREBP
AT2G39880	MYB
AT2G40200	BHLH
AT2G40210	MADS
AT2G40220	AP2/EREBP
AT2G40340	AP2/EREBP
AT2G40350	AP2/EREBP
AT2G40620	BZIP
AT2G40740	WRKY
AT2G40750	WRKY
AT2G40950	BZIP
AT2G41070	BZIP
AT2G41130	BHLH
AT2G41240	BHLH
AT2G41690	HSF
AT2G41710	AP2/EREBP
AT2G41940	C2H2
AT2G42200	SBP
AT2G42280	BHLH
AT2G42300	BHLH
AT2G42380	BZIP
AT2G42410	C2H2
AT2G42830	MADS
AT2G43000	NAC
AT2G43010	BHLH
AT2G43060	BHLH
AT2G43140	BHLH
AT2G43500	NIN-LIKE
AT2G44730	TRIHELIX
AT2G44745	WRKY
AT2G44840	AP2/EREBP
At2g44910	HD-Zip II
AT2G44940	AP2/EREBP
AT2G45050	C2C2-GATA
AT2G45120	C2H2
AT2G45160	GRAS
AT2G45190	C2C2-YABBY
AT2G45480	GRF
AT2G45650	MADS
AT2G45660	MADS
AT2G45680	TCP
AT2G46130	WRKY
AT2G46270	BZIP
AT2G46310	AP2/EREBP
AT2G46400	WRKY
AT2G46410	MYB
AT2G46495	C3H
AT2G46510	BHLH
AT2G46530	ARF
AT2G46590	C2C2-DOF
At2g46680	HD-Zip I
AT2G46770	NAC
AT2G46810	BHLH
AT2G46830	MYB
AT2G46870	ABI3/VP1
AT2G46970	BHLH
AT2G46990	AUX/IAA
AT2G47070	SBP
AT2G47090	C2H2
AT2G47190	MYB
AT2G47260	WRKY
AT2G47270	BHLH
AT2G47460	MYB
AT2G47520	AP2/EREBP
AT2G47810	CCAAT-HAP3
AT2G47890	C2C2-CO-LIKE
AT2G47900	TUB
AT2G48100	C2H2
AT3G01030	C2H2
AT3G01080	WRKY
AT3G01140	MYB
At3g01220	HD-Zip I
AT3G01330	E2F/DP
At3g01470	HD-Zip I
AT3G01530	MYB
AT3G01600	NAC
AT3G01970	WRKY
AT3G02150	TCP
AT3G02310	MADS
AT3G02380	C2C2-CO-LIKE
AT3G02790	C2H2
AT3G02860	C2H2
AT3G02940	MYB
AT3G02990	HSF
AT3G03200	NAC
At3g03260	HD-Zip IV
AT3G03450	GRAS
At3g03660	WOX
AT3G04060	NAC
AT3G04070	NAC
AT3G04100	MADS
AT3G04410	NAC
AT3G04420	NAC
AT3G04430	NAC
AT3G04670	WRKY
AT3G04730	AUX/IAA
AT3G04850	CPP
AT3G04930	GEBP
AT3G05690	CCAAT-HAP2
AT3G05760	C2H2
AT3G05800	BHLH
AT3G05860	MADS
AT3G06120	BHLH
AT3G06380	TUB
AT3G06490	MYB
AT3G06590	BHLH
AT3G06740	C2C2-GATA
AT3G07340	BHLH
AT3G07650	C2C2-CO-LIKE
AT3G08500	MYB
AT3G09230	MYB
AT3G09290	C2H2
AT3G09370	MYB
AT3G09600	MYB
AT3G10000	TRIHELIX
AT3G10040	TRIHELIX
AT3G10470	C2H2
AT3G10480	NAC
AT3G10490	NAC
AT3G10500	NAC
AT3G10580	MYB
AT3G10590	MYB
AT3G10800	BZIP
AT3G11020	AP2/EREBP
AT3G11100	TRIHELIX
AT3G11200	ALFIN-LIKE
At3g11260	WOX
AT3G11280	MYB
AT3G11440	MYB
AT3G11580	ABI3/VP1
AT3G12250	BZIP
AT3G12270	C2H2
AT3G12480	CCAAT-HAP5
AT3G12720	MYB
AT3G12820	MYB
AT3G13350	ARID
AT3G13540	MYB
AT3G13810	C2H2
AT3G13840	GRAS
AT3G13890	MYB
AT3G13960	GRF
AT3G14020	CCAAT-HAP2
AT3G14180	TRIHELIX
AT3G14230	AP2/EREBP
AT3G14980	PHD
AT3G15030	TCP
AT3G15170	NAC
AT3G15210	AP2/EREBP
AT3G15270	SBP
AT3G15500	NAC
AT3G15510	NAC
AT3G15540	AUX/IAA
AT3G16160	CPP
AT3G16280	AP2/EREBP
AT3G16350	MYB
AT3G16500	AUX/IAA
AT3G16770	AP2/EREBP
AT3G16870	C2C2-GATA
AT3G16940	CAMTA
AT3G17010	ABI3/VP1
AT3G17100	BHLH
AT3G17600	AUX/IAA
AT3G17609	BZIP
AT3G17730	NAC
At3g18010	WOX
AT3G18100	MYB
AT3G18400	NAC
AT3G18550	TCP
AT3G18650	MADS
AT3G18990	ABI3/VP1
AT3G19290	BZIP
AT3G19500	BHLH
At3g19510	PHD-finger
AT3G19580	C2H2
AT3G19860	BHLH
AT3G20310	AP2/EREBP
AT3G20640	BHLH
AT3G20750	C2C2-GATA
AT3G20770	EIL
AT3G20840	AP2/EREBP
AT3G20880	C2H2
AT3G20910	CCAAT-HAP2
AT3G21150	C2C2-CO-LIKE
AT3G21175	C2C2-GATA
AT3G21270	C2C2-DOF
AT3G21330	BHLH
AT3G21880	C2C2-CO-LIKE
AT3G21890	C2C2-CO-LIKE
AT3G22100	BHLH
AT3G22760	CPP
AT3G22780	CPP
AT3G22830	HSF
AT3G23030	AUX/IAA
AT3G23050	AUX/IAA
AT3G23130	C2H2
AT3G23140	C2H2
AT3G23210	BHLH
AT3G23220	AP2/EREBP
AT3G23230	AP2/EREBP
AT3G23240	AP2/EREBP
AT3G23250	MYB
AT3G23690	BHLH
AT3G24050	C2C2-GATA
AT3G24140	BHLH
AT3G24310	MYB
AT3G24490	TRIHELIX
AT3G24520	HSF
AT3G24650	ABI3/VP1
AT3G24860	TRIHELIX
AT3G25710	BHLH
AT3G25730	AP2/EREBP
AT3G25890	AP2/EREBP
AT3G25990	TRIHELIX
AT3G26744	BHLH
AT3G26790	ABI3/VP1
AT3G27010	TCP
AT3G27780	MYB
AT3G27810	MYB
AT3G27920	MYB
AT3G27970	C2H2
AT3G28470	MYB
AT3G28910	MYB
AT3G28920	ZF-HD
AT3G29020	MYB
AT3G29035	NAC
AT3G29340	C2H2
AT3G30210	MYB
AT3G30260	MADS
AT3G30530	BZIP
AT3G42790	ALFIN-LIKE
AT3G43240	ARID
AT3G44290	NAC
AT3G44350	NAC
AT3G44460	BZIP
AT3G44750	C2H2
AT3G45150	TCP
AT3G45170	C2C2-GATA
AT3G45260	C2H2
AT3G45610	C2C2-DOF
AT3G46070	C2H2
AT3G46080	C2H2
AT3G46090	C2H2
AT3G46130	MYB
AT3G46600	GRAS
AT3G47500	C2C2-DOF
AT3G47600	MYB
AT3G47620	TCP
AT3G47640	BHLH
AT3G47710	BHLH
AT3G47890	C2H2
AT3G47910	C2H2
AT3G48160	E2F/DP
AT3G48430	JUMONJI
AT3G48430	C2H2
AT3G48590	CCAAT-HAP5
AT3G48920	MYB
AT3G49530	NAC
AT3G49690	MYB
AT3G49760	BZIP
AT3G49850	MYB
AT3G49930	C2H2
AT3G49950	GRAS
AT3G50060	MYB
AT3G50260	AP2/EREBP
AT3G50330	BHLH
AT3G50410	C2C2-DOF
AT3G50650	GRAS
AT3G50700	C2H2
AT3G50870	C2C2-GATA
AT3G50890	ZF-HD
AT3G51080	C2C2-GATA
AT3G51910	HSF
AT3G51960	BZIP
AT3G52440	C2C2-DOF
AT3G53200	MYB
AT3G53340	CCAAT-HAP3
AT3G53600	C2H2
AT3G53680	PHD
AT3G53820	C2H2
AT3G54220	GRAS
AT3G54320	AP2/EREBP
AT3G54340	MADS
AT3G54390	TRIHELIX
AT3G54620	BZIP
AT3G54810	C2C2-GATA
AT3G54990	AP2/EREBP
AT3G55210	NAC
AT3G55370	C2C2-DOF
AT3G55730	MYB
AT3G56400	WRKY
AT3G56520	NAC
AT3G56530	NAC
AT3G56560	NAC
AT3G56660	BZIP
AT3G56770	BHLH
AT3G56850	BZIP
AT3G56970	BHLH
AT3G56980	BHLH
AT3G57230	MADS
AT3G57390	MADS
AT3G57480	C2H2
AT3G57600	AP2/EREBP
AT3G57670	C2H2
AT3G57800	BHLH
AT3G57920	SBP
AT3G58070	C2H2
AT3G58120	BZIP
AT3G58630	TRIHELIX
AT3G58710	WRKY
AT3G58780	MADS
AT3G59060	BHLH
AT3G59580	NIN-LIKE
AT3G60030	SBP
At3g60390	HD-Zip II
AT3G60460	MYB
AT3G60490	AP2/EREBP
AT3G60530	C2C2-GATA
AT3G60580	C2H2
AT3G60630	GRAS
AT3G61120	MADS
At3g61150	HD-Zip IV
AT3G61250	MYB
AT3G61630	AP2/EREBP
AT3G61830	ARF
AT3G61850	C2C2-DOF
At3g61890	HD-Zip I
AT3G61910	NAC
AT3G61950	BHLH
AT3G61970	ABI3/VP1
AT3G62090	BHLH
AT3G62100	AUX/IAA
AT3G62240	C2H2
AT3G62340	WRKY
AT3G62420	BZIP
AT3G62610	MYB
AT3G62850	C2H2
AT3G63350	HSF
AT3G66656	MADS
AT4G00050	BHLH
AT4G00120	BHLH
AT4G00150	GRAS
AT4G00180	C2C2-YABBY
AT4G00250	GEBP
AT4G00270	GEBP
AT4G00390	GEBP
AT4G00480	BHLH
AT4G00540	MYB
AT4G00610	GEBP
At4g00730	HD-Zip IV
AT4G00870	BHLH
AT4G00940	C2C2-DOF
AT4G01060	MYB
AT4G01120	BZIP
AT4G01250	WRKY
AT4G01260	GEBP
AT4G01280	MYB
AT4G01460	BHLH
AT4G01500	ABI3/VP1
AT4G01520	NAC
AT4G01540	NAC
AT4G01550	NAC
AT4G01680	MYB
AT4G01720	WRKY
AT4G02240	MADS
At4g02560	LD
AT4G02590	BHLH
AT4G02640	BZIP
AT4G02670	C2H2
At4g03250	Similar to HOX7 (tomato)
AT4G04450	WRKY
AT4G04885	C2H2
At4g04890	HD-Zip IV
AT4G05100	MYB
AT4G05170	BHLH
At4g08150	KNOX
AT4G08250	GRAS
AT4G09180	BHLH
AT4G09450	MYB
AT4G09460	MYB
AT4G09820	BHLH
AT4G09960	MADS
AT4G10350	NAC
AT4G11070	WRKY
AT4G11140	AP2/EREBP
AT4G11250	MADS
AT4G11660	HSF
AT4G11880	MADS
AT4G12020	WRKY
AT4G12240	C2H2
AT4G12350	MYB
AT4G13040	AP2/EREBP
AT4G13480	MYB
AT4G13620	AP2/EREBP
AT4G13980	HSF
AT4G14410	BHLH
AT4G14540	CCAAT-HAP3
AT4G14550	AUX/IAA
AT4G14560	AUX/IAA
AT4G14770	CPP
AT4G14920	PHD
AT4G15250	C2C2-CO-LIKE
AT4G16150	CAMTA
AT4G16430	BHLH
AT4G16610	C2H2
AT4G16750	AP2/EREBP
At4g16780	HD-Zip II
AT4G16845	C2H2
AT4G17230	GRAS
At4g17460	HD-Zip II
AT4G17490	AP2/EREBP
AT4G17500	AP2/EREBP
AT4G17570	C2C2-GATA
At4g17710	HD-Zip IV
AT4G17750	HSF
AT4G17780	MYB
AT4G17810	C2H2
AT4G17880	BHLH
AT4G17980	NAC
AT4G18170	WRKY
AT4G18390	TCP
AT4G18450	AP2/EREBP
AT4G18770	MYB
AT4G18870	HSF
AT4G18880	HSF
AT4G18960	MADS
AT4G19630	HSF
AT4G20400	JUMONJI
AT4G20970	BHLH
AT4G21030	C2C2-DOF
AT4G21040	C2C2-DOF
AT4G21050	C2C2-DOF
AT4G21080	C2C2-DOF
AT4G21330	BHLH
AT4G21341	BHLH
AT4G21440	MYB
AT4G21550	ABI3/VP1
At4g21750	HD-Zip IV
AT4G22070	WRKY
AT4G22680	MYB
AT4G22950	MADS
AT4G23550	WRKY
AT4G23750	AP2/EREBP
AT4G23810	WRKY
AT4G23980	ARF
AT4G24020	NIN-LIKE
AT4G24060	C2C2-DOF
AT4G24150	GRF
AT4G24240	WRKY
AT4G24470	C2C2-GATA
AT4G24540	MADS
AT4G24660	ZF-HD
AT4G25210	GEBP
AT4G25400	BHLH
AT4G25410	BHLH
AT4G25470	AP2/EREBP
AT4G25481	AP2/EREBP
AT4G25490	AP2/EREBP
At4g25530	HD-Zip IV
AT4G25560	MYB
AT4G25610	C2H2
AT4G26030	C2H2
AT4G26150	C2C2-GATA
AT4G26440	WRKY
AT4G26640	WRKY
AT4G26930	MYB
AT4G27240	C2H2
AT4G27310	C2C2-CO-LIKE
AT4G27410	NAC
AT4G27950	AP2/EREBP
AT4G28110	MYB
AT4G28140	AP2/EREBP
AT4G28500	NAC
AT4G28530	NAC
AT4G28640	AUX/IAA
AT4G28790	BHLH
AT4G28800	BHLH
AT4G28811	BHLH
AT4G28815	BHLH
AT4G29000	CPP
AT4G29080	AUX/IAA
AT4G29100	BHLH
AT4G29230	NAC
AT4G29930	BHLH
At4g29940	PHD-finger
