AGI	object name	GO term	GO ID	Aspect	GOslim term
AT4G00680	AT4G00680.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00700	AT4G00700.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00740	AT4G00740.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00750	AT4G00750.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00755	AT4G00755.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00770	AT4G00770.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00780	AT4G00780.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00790	AT4G00790.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00800	AT4G00800.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00820	AT4G00820.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00850	AT4G00850.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00895	AT4G00895.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00910	AT4G00910.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00920	AT4G00920.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00930	AT4G00930.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00955	AT4G00955.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01026	AT4G01026.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01030	AT4G01030.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01050	AT4G01050.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01080	AT4G01080.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01090	AT4G01090.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01110	AT4G01110.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01140	AT4G01140.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01150	AT4G01150.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01170	AT4G01170.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01180	AT4G01180.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01190	AT4G01190.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01220	AT4G01220.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01240	AT4G01240.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01290	AT4G01290.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01340	AT4G01340.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01390	AT4G01390.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01400	AT4G01400.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01410	AT4G01410.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01510	AT4G01510.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01560	AT4G01560.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01570	AT4G01570.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01575	AT4G01575.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01590	AT4G01590.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01650	AT4G01650.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01670	AT4G01670.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01730	AT4G01730.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01740	AT4G01740.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01750	AT4G01750.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01770	AT4G01770.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01780	AT4G01780.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01860	AT4G01860.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01870	AT4G01870.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01880	AT4G01880.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01897	AT4G01897.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01960	AT4G01960.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01970	AT4G01970.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G01990	AT4G01990.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02030	AT4G02030.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02140	AT4G02140.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02160	AT4G02160.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02170	AT4G02170.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02210	AT4G02210.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02250	AT4G02250.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02270	AT4G02270.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02310	AT4G02310.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02360	AT4G02360.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02370	AT4G02370.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02430	AT4G02430.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02500	AT4G02500.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02530	AT4G02530.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02540	AT4G02540.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02550	AT4G02550.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02710	AT4G02710.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02720	AT4G02720.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02730	AT4G02730.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02790	AT4G02790.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02800	AT4G02800.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02810	AT4G02810.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02820	AT4G02820.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02880	AT4G02880.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02900	AT4G02900.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02910	AT4G02910.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02920	AT4G02920.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G02940	AT4G02940.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03020	AT4G03020.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03030	AT4G03030.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03040	AT4G03040.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03090	AT4G03090.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03150	AT4G03150.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03153	AT4G03153.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03156	AT4G03156.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03160	AT4G03160.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03170	AT4G03170.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03180	AT4G03180.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03240	AT4G03240.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03260	AT4G03260.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03380	AT4G03380.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03410	AT4G03410.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03460	AT4G03460.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03480	AT4G03480.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03570	AT4G03570.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03580	AT4G03580.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03600	AT4G03600.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03610	AT4G03610.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03620	AT4G03620.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03630	AT4G03630.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03640	AT4G03640.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03660	AT4G03660.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03670	AT4G03670.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03680	AT4G03680.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03690	AT4G03690.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03740	AT4G03740.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03750	AT4G03750.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03820	AT4G03820.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03830	AT4G03830.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03890	AT4G03890.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03910	AT4G03910.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03940	AT4G03940.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03979	AT4G03979.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G03990	AT4G03990.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04070	AT4G04070.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04100	AT4G04100.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04190	AT4G04190.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04210	PUX4	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04270	AT4G04270.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04370	AT4G04370.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04430	AT4G04430.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04470	AT4G04470.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04630	AT4G04630.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04650	AT4G04650.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04730	AT4G04730.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04780	AT4G04780.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04790	AT4G04790.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04800	AT4G04800.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04820	AT4G04820.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04830	AT4G04830.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04840	AT4G04840.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04920	AT4G04920.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04940	AT4G04940.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04980	AT4G04980.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G04990	AT4G04990.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G05040	AT4G05040.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G05060	AT4G05060.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G05070	AT4G05070.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G05080	AT4G05080.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G05150	AT4G05150.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G05300	AT4G05300.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G05340	AT4G05340.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G05370	AT4G05370.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G05400	AT4G05400.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G05440	AT4G05440.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G05510	AT4G05510.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G05570	AT4G05570.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G05580	AT4G05580.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G05590	AT4G05590.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G05620	AT4G05620.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G05630	AT4G05630.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G05640	AT4G05640.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G07350	AT4G07350.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G07380	AT4G07380.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G07410	AT4G07410.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G07460	AT4G07460.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G07480	AT4G07480.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G07500	AT4G07500.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G07510	AT4G07510.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G07515	AT4G07515.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G07523	AT4G07523.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G07530	AT4G07530.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G07640	AT4G07640.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G07690	AT4G07690.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G07740	AT4G07740.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G07790	AT4G07790.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G07800	AT4G07800.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G07940	AT4G07940.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G07944	AT4G07944.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G07960	AT4G07960.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08130	AT4G08130.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08140	AT4G08140.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08170	AT4G08170.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08210	AT4G08210.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08240	AT4G08240.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08260	AT4G08260.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08270	AT4G08270.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08280	AT4G08280.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08310	AT4G08310.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08320	AT4G08320.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08330	AT4G08330.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08360	AT4G08360.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08460	AT4G08460.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08580	AT4G08580.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08600	AT4G08600.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08685	SAH7	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08710	AT4G08710.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08730	AT4G08730.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08740	AT4G08740.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08750	AT4G08750.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08760	AT4G08760.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08820	AT4G08820.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08940	AT4G08940.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08950	AT4G08950.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G08960	AT4G08960.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09090	AT4G09090.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09150	AT4G09150.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09220	AT4G09220.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09270	AT4G09270.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09290	AT4G09290.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09300	AT4G09300.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09370	AT4G09370.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09390	AT4G09390.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09470	AT4G09470.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09490	AT4G09490.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09510	AT4G09510.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09520	AT4G09520.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09580	AT4G09580.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09590	AT4G09590.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09620	AT4G09620.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09630	AT4G09630.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09640	AT4G09640.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09660	AT4G09660.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09680	AT4G09680.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09830	AT4G09830.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09840	AT4G09840.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09850	AT4G09850.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09860	AT4G09860.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09880	AT4G09880.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09890	AT4G09890.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09920	AT4G09920.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G09990	AT4G09990.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10000	AT4G10000.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10060	AT4G10060.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10090	AT4G10090.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10170	AT4G10170.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10200	AT4G10200.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10210	AT4G10210.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10220	AT4G10220.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10280	AT4G10280.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10300	AT4G10300.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10330	AT4G10330.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10410	AT4G10410.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10420	AT4G10420.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10470	AT4G10470.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10480	AT4G10480.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10560	AT4G10560.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10610	RBP37	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10620	AT4G10620.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10640	AT4G10640.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10660	AT4G10660.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10670	AT4G10670.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10700	AT4G10700.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10790	AT4G10790.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10800	AT4G10800.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10810	AT4G10810.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10820	AT4G10820.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10880	AT4G10880.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10890	AT4G10890.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10910	AT4G10910.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10925	AT4G10925.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G10970	AT4G10970.3	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11000	AT4G11000.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11090	AT4G11090.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11100	AT4G11100.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11200	AT4G11200.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11220	AT4G11220.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11270	AT4G11270.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11300	AT4G11300.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11350	AT4G11350.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11400	AT4G11400.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11450	AT4G11450.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11550	AT4G11550.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11590	AT4G11590.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11670	AT4G11670.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11690	AT4G11690.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11700	AT4G11700.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11710	AT4G11710.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11745	AT4G11745.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11770	AT4G11770.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11780	AT4G11780.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11800	AT4G11800.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11860	AT4G11860.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11870	AT4G11870.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11930	AT4G11930.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11940	AT4G11940.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11950	AT4G11950.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11960	AT4G11960.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11970	AT4G11970.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G11980	AT4G11980.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12000	AT4G12000.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12040	AT4G12040.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12070	AT4G12070.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12220	AT4G12220.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12270	AT4G12270.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12340	AT4G12340.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12380	AT4G12380.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12390	AT4G12390.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12540	AT4G12540.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12580	AT4G12580.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12590	AT4G12590.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12690	AT4G12690.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12700	AT4G12700.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12760	AT4G12760.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12770	AT4G12770.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12780	AT4G12780.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12790	AT4G12790.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12860	AT4G12860.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12890	AT4G12890.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12930	AT4G12930.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12960	AT4G12960.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12970	AT4G12970.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G12990	AT4G12990.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G13030	AT4G13030.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G13060	AT4G13060.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G13070	AT4G13070.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G13140	AT4G13140.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G13150	AT4G13150.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G13200	AT4G13200.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G13210	AT4G13210.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G13220	AT4G13220.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G13235	AT4G13235.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G13240	AT4G13240.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G13270	AT4G13270.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G13320	AT4G13320.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G13330	AT4G13330.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G13410	AT4G13410.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G13440	AT4G13440.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G13500	AT4G13500.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G13530	AT4G13530.2	biological process unknown	GO:0000004	proc	biological process unknown
