AGI	object name	GO term	GO ID	Aspect	GOslim term
AT1G01150	AT1G01150.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01150	AT1G01150.1	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G01150	AT1G01150.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01160	AT1G01160.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01160	GIF2	transcription coactivator activity	GO:0003713	func	other molecular functions
AT1G01160	GIF2	protein binding	GO:0005515	func	protein binding
AT1G01160	GIF2	nucleus	GO:0005634	comp	nucleus
AT1G01170	AT1G01170.2	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G01170	AT1G01170.2	response to stress	GO:0006950	proc	response to stress
AT1G01170	AT1G01170.2	endomembrane system	GO:0012505	comp	other membranes
AT1G01180	AT1G01180.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01180	AT1G01180.1	mitochondrion	GO:0005739	comp	mitochondria
AT1G01190	AT1G01190.1	electron transport	GO:0006118	proc	electron transport or energy pathways
AT1G01190	AT1G01190.1	endomembrane system	GO:0012505	comp	other membranes
AT1G01190	AT1G01190.1	oxygen binding	GO:0019825	func	other binding
AT1G01200	AT1G01200.1	exosome (RNase complex)	GO:0000178	comp	other intracellular components
AT1G01200	AT1G01200.1	GTP binding	GO:0005525	func	nucleotide binding
AT1G01200	AT1G01200.1	intracellular	GO:0005622	comp	other intracellular components
AT1G01200	AT1G01200.1	intracellular protein transport	GO:0006886	proc	cell organization and biogenesis
AT1G01200	AT1G01200.1	small GTPase mediated signal transduction	GO:0007264	proc	signal transduction
AT1G01200	AT1G01200.1	protein transport	GO:0015031	proc	other physiological processes
AT1G01210	AT1G01210.1	DNA binding	GO:0003677	func	DNA or RNA binding
AT1G01210	AT1G01210.1	transcription factor activity	GO:0003700	func	transcription factor activity
AT1G01210	AT1G01210.1	DNA-directed RNA polymerase activity	GO:0003899	func	transferase activity
AT1G01210	AT1G01210.1	nucleus	GO:0005634	comp	nucleus
AT1G01210	AT1G01210.1	"regulation of transcription, DNA-dependent"	GO:0006355	proc	other physiological processes
AT1G01220	AT1G01220.1	galactokinase activity	GO:0004335	func	transferase activity
AT1G01220	AT1G01220.1	ATP binding	GO:0005524	func	nucleotide binding
AT1G01220	AT1G01220.1	cytoplasm	GO:0005737	comp	other cytoplasmic components
AT1G01220	AT1G01220.1	mitochondrion	GO:0005739	comp	mitochondria
AT1G01220	AT1G01220.1	metabolism	GO:0008152	proc	other metabolic processes
AT1G01220	AT1G01220.1	phosphorylation	GO:0016310	proc	other physiological processes
AT1G01225	AT1G01225.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01230	AT1G01230.1	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G01230	AT1G01230.1	endoplasmic reticulum	GO:0005783	comp	ER
AT1G01230	AT1G01230.1	protein folding	GO:0006457	proc	other physiological processes
AT1G01240	AT1G01240.3	mitochondrion	GO:0005739	comp	mitochondria
AT1G01240	AT1G01240.1	N-terminal protein myristoylation	GO:0006499	proc	other physiological processes
AT1G01250	AT1G01250.1	DNA binding	GO:0003677	func	DNA or RNA binding
AT1G01250	AT1G01250.1	transcription factor activity	GO:0003700	func	transcription factor activity
AT1G01250	AT1G01250.1	nucleus	GO:0005634	comp	nucleus
AT1G01250	AT1G01250.1	"regulation of transcription, DNA-dependent"	GO:0006355	proc	other physiological processes
AT1G01260	AT1G01260.1	DNA binding	GO:0003677	func	DNA or RNA binding
AT1G01260	AT1G01260.1	transcription factor activity	GO:0003700	func	transcription factor activity
AT1G01260	AT1G01260.1	nucleus	GO:0005634	comp	nucleus
AT1G01260	AT1G01260.1	regulation of transcription	GO:0045449	proc	other physiological processes
AT1G01280	AT1G01280.1	electron transport	GO:0006118	proc	electron transport or energy pathways
AT1G01280	AT1G01280.1	endomembrane system	GO:0012505	comp	other membranes
AT1G01280	AT1G01280.1	oxygen binding	GO:0019825	func	other binding
AT1G01290	AT1G01290.1	catalytic activity	GO:0003824	func	other enzyme activity
AT1G01290	CNX3	mitochondrion	GO:0005739	comp	mitochondria
AT1G01290	CNX3	Mo-molybdopterin cofactor biosynthesis	GO:0006777	proc	other physiological processes
AT1G01290	CNX3	chloroplast	GO:0009507	comp	chloroplast
AT1G01300	AT1G01300.1	pepsin A activity	GO:0004194	func	hydrolase activity
AT1G01300	AT1G01300.1	proteolysis	GO:0006508	proc	other physiological processes
AT1G01300	AT1G01300.1	cell wall (sensu Magnoliophyta)	GO:0009505	comp	cell wall
AT1G01310	AT1G01310.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01310	AT1G01310.1	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G01310	AT1G01310.1	extracellular region	GO:0005576	comp	extracellular
AT1G01320	AT1G01320.1	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G01320	AT1G01320.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01340	AT1G01340.1	ion channel activity	GO:0005216	func	transporter activity
AT1G01340	AT1G01340.1	calmodulin binding	GO:0005516	func	protein binding
AT1G01340	AT1G01340.1	ion transport	GO:0006811	proc	transport
AT1G01340	AT1G01340.1	membrane	GO:0016020	comp	other membranes
AT1G01340	AT1G01340.1	cyclic nucleotide binding	GO:0030551	func	nucleotide binding
AT1G01350	AT1G01350.1	nucleic acid binding	GO:0003676	func	nucleic acid binding
AT1G01360	AT1G01360.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01370	HTR12	"chromosome, pericentric region"	GO:0000775	comp	other intracellular components
AT1G01370	AT1G01370.2	DNA binding	GO:0003677	func	DNA or RNA binding
AT1G01370	AT1G01370.2	nucleosome assembly	GO:0006334	proc	cell organization and biogenesis
AT1G01370	AT1G01370.2	chromosome organization and biogenesis (sensu Eukaryota)	GO:0007001	proc	cell organization and biogenesis
AT1G01380	AT1G01380.1	DNA binding	GO:0003677	func	DNA or RNA binding
AT1G01380	AT1G01380.1	transcription factor activity	GO:0003700	func	transcription factor activity
AT1G01380	AT1G01380.1	nucleus	GO:0005634	comp	nucleus
AT1G01380	AT1G01380.1	"regulation of transcription, DNA-dependent"	GO:0006355	proc	other physiological processes
AT1G01390	AT1G01390.1	metabolism	GO:0008152	proc	other metabolic processes
AT1G01390	AT1G01390.1	UDP-glycosyltransferase activity	GO:0008194	func	transferase activity
AT1G01390	AT1G01390.1	"transferase activity, transferring glycosyl groups"	GO:0016757	func	transferase activity
AT1G01410	AT1G01410.1	RNA binding	GO:0003723	func	DNA or RNA binding
AT1G01410	AT1G01410.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01420	AT1G01420.1	metabolism	GO:0008152	proc	other metabolic processes
AT1G01420	AT1G01420.1	UDP-glycosyltransferase activity	GO:0008194	func	transferase activity
AT1G01420	AT1G01420.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01420	AT1G01420.1	"transferase activity, transferring glycosyl groups"	GO:0016757	func	transferase activity
AT1G01430	AT1G01430.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01430	AT1G01430.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01440	AT1G01440.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01440	AT1G01440.1	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G01440	AT1G01440.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01450	AT1G01450.1	protein threonine/tyrosine kinase activity	GO:0004712	func	transferase activity
AT1G01450	AT1G01450.1	protein amino acid phosphorylation	GO:0006468	proc	other physiological processes
AT1G01450	AT1G01450.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01450	AT1G01450.1	kinase activity	GO:0016301	func	kinase activity
AT1G01460	AT1G01460.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01460	AT1G01460.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01460	AT1G01460.1	1-phosphatidylinositol-4-phosphate 5-kinase activity	GO:0016308	func	transferase activity
AT1G01470	LEA14	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G01470	LEA14	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01470	AT1G01470.1	response to desiccation	GO:0009269	proc	response to abiotic or biotic stimulus
AT1G01470	LEA14	response to wounding	GO:0009611	proc	other biological processes
AT1G01470	LEA14	response to high light intensity	GO:0009644	proc	response to abiotic or biotic stimulus
AT1G01470	AT1G01470.1	embryonic development (sensu Magnoliophyta)	GO:0009793	proc	other biological processes
AT1G01480	ACS2	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01480	AT1G01480.2	ethylene biosynthesis	GO:0009693	proc	other physiological processes
AT1G01480	ACS2	1-aminocyclopropane-1-carboxylate synthase activity	GO:0016847	func	other enzyme activity
AT1G01490	AT1G01490.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01490	AT1G01490.2	metal ion transport	GO:0030001	proc	transport
AT1G01490	AT1G01490.2	metal ion binding	GO:0046872	func	other binding
AT1G01500	AT1G01500.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01500	AT1G01500.1	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G01500	AT1G01500.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01510	AN	microtubule cytoskeleton organization and biogenesis	GO:0000226	proc	cell organization and biogenesis
AT1G01510	AN	protein binding	GO:0005515	func	protein binding
AT1G01510	AN	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01510	AN	leaf morphogenesis	GO:0009965	proc	developmental processes
AT1G01510	AN	monopolar cell growth	GO:0042814	proc	cell organization and biogenesis
AT1G01520	AT1G01520.1	DNA binding	GO:0003677	func	DNA or RNA binding
AT1G01520	AT1G01520.1	transcription factor activity	GO:0003700	func	transcription factor activity
AT1G01520	AT1G01520.1	nucleus	GO:0005634	comp	nucleus
AT1G01520	AT1G01520.1	"regulation of transcription, DNA-dependent"	GO:0006355	proc	other physiological processes
AT1G01520	AT1G01520.1	chloroplast	GO:0009507	comp	chloroplast
AT1G01520	AT1G01520.1	response to salt stress	GO:0009651	proc	response to abiotic or biotic stimulus
AT1G01530	AT1G01530.1	DNA binding	GO:0003677	func	DNA or RNA binding
AT1G01530	AT1G01530.1	transcription factor activity	GO:0003700	func	transcription factor activity
AT1G01530	AT1G01530.1	nucleus	GO:0005634	comp	nucleus
AT1G01530	AT1G01530.1	mitochondrion	GO:0005739	comp	mitochondria
AT1G01530	AT1G01530.1	"regulation of transcription, DNA-dependent"	GO:0006355	proc	other physiological processes
AT1G01540	AT1G01540.2	protein amino acid phosphorylation	GO:0006468	proc	other physiological processes
AT1G01540	AT1G01540.2	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01540	AT1G01540.2	kinase activity	GO:0016301	func	kinase activity
AT1G01550	AT1G01550.2	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G01550	AT1G01550.2	chloroplast	GO:0009507	comp	chloroplast
AT1G01560	ATMPK11	MAP kinase activity	GO:0004707	func	other molecular functions
AT1G01560	AT1G01560.1	signal transduction	GO:0007165	proc	signal transduction
AT1G01560	ATMPK11	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01560	AT1G01560.1	response to abscisic acid stimulus	GO:0009737	proc	other biological processes
AT1G01560	AT1G01560.1	kinase activity	GO:0016301	func	kinase activity
AT1G01570	AT1G01570.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01570	AT1G01570.1	endomembrane system	GO:0012505	comp	other membranes
AT1G01570	AT1G01570.1	"transferase activity, transferring glycosyl groups"	GO:0016757	func	transferase activity
AT1G01600	AT1G01600.1	mitochondrion	GO:0005739	comp	mitochondria
AT1G01600	CYP86A4	fatty acid metabolism	GO:0006631	proc	other physiological processes
AT1G01600	CYP86A4	fatty acid (omega-1)-hydroxylase activity	GO:0008393	func	other enzyme activity
AT1G01600	AT1G01600.1	oxygen binding	GO:0019825	func	other binding
AT1G01610	AT1G01610.1	1-acylglycerol-3-phosphate O-acyltransferase activity	GO:0003841	func	transferase activity
AT1G01610	AT1G01610.1	metabolism	GO:0008152	proc	other metabolic processes
AT1G01610	AT1G01610.1	acyltransferase activity	GO:0008415	func	transferase activity
AT1G01620	PIP1C	plasma membrane	GO:0005886	comp	plasma membrane
AT1G01620	AT1G01620.1	transport	GO:0006810	proc	transport
AT1G01620	PIP1C	water transport	GO:0006833	proc	transport
AT1G01620	PIP1C	response to water deprivation	GO:0009414	proc	response to abiotic or biotic stimulus
AT1G01620	AT1G01620.1	response to salt stress	GO:0009651	proc	response to abiotic or biotic stimulus
AT1G01620	PIP1C	water channel activity	GO:0015250	func	transporter activity
AT1G01620	AT1G01620.1	membrane	GO:0016020	comp	other membranes
AT1G01630	AT1G01630.1	transporter activity	GO:0005215	func	transporter activity
AT1G01630	AT1G01630.1	transport	GO:0006810	proc	transport
AT1G01630	AT1G01630.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01640	AT1G01640.2	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01640	AT1G01640.2	protein binding	GO:0005515	func	protein binding
AT1G01640	AT1G01640.2	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01650	AT1G01650.2	proteolysis	GO:0006508	proc	other physiological processes
AT1G01650	AT1G01650.2	peptidase activity	GO:0008233	func	hydrolase activity
AT1G01650	AT1G01650.1	endomembrane system	GO:0012505	comp	other membranes
AT1G01650	AT1G01650.2	integral to membrane	GO:0016021	comp	other cellular components
AT1G01660	AT1G01660.1	ubiquitin ligase complex	GO:0000151	comp	other intracellular components
AT1G01660	AT1G01660.1	ubiquitin-protein ligase activity	GO:0004842	func	other enzyme activity
AT1G01660	AT1G01660.1	protein ubiquitination	GO:0016567	proc	other physiological processes
AT1G01670	AT1G01670.1	ubiquitin ligase complex	GO:0000151	comp	other intracellular components
AT1G01670	AT1G01670.1	ubiquitin-protein ligase activity	GO:0004842	func	other enzyme activity
AT1G01670	AT1G01670.1	protein ubiquitination	GO:0016567	proc	other physiological processes
AT1G01690	AT1G01690.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01690	AT1G01690.1	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G01690	AT1G01690.1	chloroplast	GO:0009507	comp	chloroplast
AT1G01700	AT1G01700.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01700	AT1G01700.1	Rho guanyl-nucleotide exchange factor activity	GO:0005089	func	other molecular functions
AT1G01700	AT1G01700.1	protein binding	GO:0005515	func	protein binding
AT1G01700	AT1G01700.1	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G01700	AT1G01700.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01710	AT1G01710.1	acyl-CoA metabolism	GO:0006637	proc	other physiological processes
AT1G01710	AT1G01710.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01710	AT1G01710.1	acyl-CoA thioesterase activity	GO:0016291	func	hydrolase activity
AT1G01710	AT1G01710.1	cyclic nucleotide binding	GO:0030551	func	nucleotide binding
AT1G01720	AT1G01720.1	transcription factor activity	GO:0003700	func	transcription factor activity
AT1G01720	AT1G01720.1	development	GO:0007275	proc	developmental processes
AT1G01720	ATAF1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01720	ATAF1	response to wounding	GO:0009611	proc	other biological processes
AT1G01720	ATAF1	transcriptional activator activity	GO:0016563	func	other molecular functions
AT1G01725	AT1G01725.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01725	AT1G01725.1	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G01725	AT1G01725.1	endomembrane system	GO:0012505	comp	other membranes
AT1G01730	AT1G01730.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01730	AT1G01730.1	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G01730	AT1G01730.1	chloroplast	GO:0009507	comp	chloroplast
AT1G01740	AT1G01740.1	protein amino acid phosphorylation	GO:0006468	proc	other physiological processes
AT1G01740	AT1G01740.1	N-terminal protein myristoylation	GO:0006499	proc	other physiological processes
AT1G01740	AT1G01740.1	kinase activity	GO:0016301	func	kinase activity
AT1G01750	AT1G01750.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01750	AT1G01750.1	actin binding	GO:0003779	func	protein binding
AT1G01750	AT1G01750.1	intracellular	GO:0005622	comp	other intracellular components
AT1G01760	AT1G01760.1	RNA binding	GO:0003723	func	DNA or RNA binding
AT1G01760	AT1G01760.1	adenosine deaminase activity	GO:0004000	func	other enzyme activity
AT1G01760	AT1G01760.1	RNA processing	GO:0006396	proc	other physiological processes
AT1G01760	AT1G01760.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01770	AT1G01770.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01770	AT1G01770.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01780	AT1G01780.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01780	AT1G01780.1	zinc ion binding	GO:0008270	func	other binding
AT1G01780	AT1G01780.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01790	AT1G01790.1	cation transport	GO:0006812	proc	transport
AT1G01790	AT1G01790.1	potassium ion transport	GO:0006813	proc	transport
AT1G01790	AT1G01790.1	regulation of pH	GO:0006885	proc	other physiological processes
AT1G01790	AT1G01790.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01790	KEA1	potassium ion transporter activity	GO:0015079	func	transporter activity
AT1G01790	AT1G01790.1	potassium:hydrogen antiporter activity	GO:0015386	func	transporter activity
AT1G01800	AT1G01800.1	metabolism	GO:0008152	proc	other metabolic processes
AT1G01800	AT1G01800.1	cell wall (sensu Magnoliophyta)	GO:0009505	comp	cell wall
AT1G01800	AT1G01800.1	oxidoreductase activity	GO:0016491	func	other enzyme activity
AT1G01820	AT1G01820.1	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G01820	AT1G01820.1	peroxisomal membrane	GO:0005778	comp	other intracellular components
AT1G01820	AT1G01820.1	peroxisome fission	GO:0016559	proc	cell organization and biogenesis
AT1G01830	AT1G01830.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01840	AT1G01840.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01840	AT1G01840.1	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G01840	AT1G01840.1	chloroplast	GO:0009507	comp	chloroplast
AT1G01860	PFC1	response to cold	GO:0009409	proc	response to abiotic or biotic stimulus
AT1G01860	AT1G01860.1	chloroplast	GO:0009507	comp	chloroplast
AT1G01860	PFC1	mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity	GO:0016422	func	transferase activity
AT1G01900	AT1G01900.1	subtilase activity	GO:0004289	func	hydrolase activity
AT1G01900	AT1G01900.1	proteolysis	GO:0006508	proc	other physiological processes
AT1G01900	AT1G01900.1	endomembrane system	GO:0012505	comp	other membranes
AT1G01910	AT1G01910.3	ATP binding	GO:0005524	func	nucleotide binding
AT1G01910	AT1G01910.3	anion transport	GO:0006820	proc	transport
AT1G01910	AT1G01910.3	membrane	GO:0016020	comp	other membranes
AT1G01920	AT1G01920.2	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01920	AT1G01920.2	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G01920	AT1G01920.2	nucleus	GO:0005634	comp	nucleus
AT1G01930	AT1G01930.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01940	AT1G01940.1	peptidyl-prolyl cis-trans isomerase activity	GO:0003755	func	other enzyme activity
AT1G01940	AT1G01940.1	protein folding	GO:0006457	proc	other physiological processes
AT1G01940	AT1G01940.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01950	AT1G01950.1	microtubule motor activity	GO:0003777	func	other molecular functions
AT1G01950	AT1G01950.1	microtubule associated complex	GO:0005875	comp	other intracellular components
AT1G01950	AT1G01950.1	microtubule-based movement	GO:0007018	proc	cell organization and biogenesis
AT1G01950	AT1G01950.1	chloroplast	GO:0009507	comp	chloroplast
AT1G01960	AT1G01960.1	guanyl-nucleotide exchange factor activity	GO:0005085	func	other molecular functions
AT1G01960	AT1G01960.1	intracellular	GO:0005622	comp	other intracellular components
AT1G01960	AT1G01960.1	regulation of ARF protein signal transduction	GO:0032012	proc	other biological processes
AT1G01970	AT1G01970.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01970	AT1G01970.1	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G01970	AT1G01970.1	mitochondrion	GO:0005739	comp	mitochondria
AT1G01980	AT1G01980.1	electron transport	GO:0006118	proc	electron transport or energy pathways
AT1G01980	AT1G01980.1	electron carrier activity	GO:0009055	func	other enzyme activity
AT1G01980	AT1G01980.1	endomembrane system	GO:0012505	comp	other membranes
AT1G01990	AT1G01990.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01990	AT1G01990.1	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G01990	AT1G01990.1	mitochondrion	GO:0005739	comp	mitochondria
AT1G02000	AT1G02000.1	catalytic activity	GO:0003824	func	other enzyme activity
AT1G02000	AT1G02000.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G02000	AT1G02000.1	nucleotide-sugar metabolism	GO:0009225	proc	other physiological processes
AT1G02020	AT1G02020.2	metabolism	GO:0008152	proc	other metabolic processes
AT1G02020	AT1G02020.2	chloroplast	GO:0009507	comp	chloroplast
AT1G02020	AT1G02020.2	"oxidoreductase activity, acting on NADH or NADPH, nitrogenous group as acceptor"	GO:0016657	func	other enzyme activity
AT1G02050	AT1G02050.1	mitochondrion	GO:0005739	comp	mitochondria
AT1G02050	AT1G02050.1	acyltransferase activity	GO:0008415	func	transferase activity
AT1G02050	AT1G02050.1	phenylpropanoid biosynthesis	GO:0009699	proc	other physiological processes
AT1G02060	AT1G02060.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G02060	AT1G02060.1	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G02060	AT1G02060.1	chloroplast	GO:0009507	comp	chloroplast
AT1G02070	AT1G02070.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G02080	AT1G02080.1	transcription regulator activity	GO:0030528	func	other molecular functions
AT1G02090	AT1G02090.3	MAP kinase kinase activity	GO:0004708	func	transferase activity
AT1G02090	AT1G02090.3	nucleus	GO:0005634	comp	nucleus
AT1G02090	AT1G02090.3	signalosome complex	GO:0008180	comp	other intracellular components
