Transcript	SoyDB
Glyma02g07460.1	AP2-EREBP
Glyma02g08020.1	AP2-EREBP
Glyma02g08840.1	AP2-EREBP
Glyma02g09600.1	AP2-EREBP
Glyma02g11060.1	AP2-EREBP
Glyma02g14940.1	AP2-EREBP
Glyma02g31350.1	AP2-EREBP
Glyma02g33090.1	AP2-EREBP
Glyma02g36880.1	AP2-EREBP
Glyma02g40320.1	AP2-EREBP
Glyma02g42960.1	AP2-EREBP
Glyma02g43240.1	AP2-EREBP
Glyma02g43500.1	AP2-EREBP
Glyma02g46340.1	AP2-EREBP
Glyma03g01930.1	AP2-EREBP
Glyma03g14570.1	AP2-EREBP
Glyma03g23330.1	AP2-EREBP
Glyma03g26310.1	AP2-EREBP
Glyma03g26330.1	AP2-EREBP
Glyma03g26390.1	AP2-EREBP
Glyma03g26450.1	AP2-EREBP
Glyma03g26480.1	AP2-EREBP
Glyma03g26510.1	AP2-EREBP
Glyma03g26520.1	AP2-EREBP
Glyma03g26530.1	AP2-EREBP
Glyma03g27050.1	AP2-EREBP
Glyma03g29240.1	AP2-EREBP
Glyma03g29530.1	AP2-EREBP
Glyma03g29680.1	AP2-EREBP
Glyma03g31640.1	AP2-EREBP
Glyma03g31910.1	AP2-EREBP
Glyma03g31920.1	AP2-EREBP
Glyma03g31930.1	AP2-EREBP
Glyma03g31940.1	AP2-EREBP
Glyma03g33470.1	AP2-EREBP
Glyma03g34970.1	AP2-EREBP
Glyma03g41640.1	AP2-EREBP
Glyma03g41910.1	AP2-EREBP
Glyma03g42450.1	AP2-EREBP
Glyma03g42450.2	AP2-EREBP
Glyma04g03070.1	AP2-EREBP
Glyma04g04350.1	AP2-EREBP
Glyma04g05080.1	AP2-EREBP
Glyma04g06100.1	AP2-EREBP
Glyma04g06690.1	AP2-EREBP
Glyma04g07140.1	AP2-EREBP
Glyma04g08900.1	AP2-EREBP
Glyma04g11210.1	AP2-EREBP
Glyma04g11290.1	AP2-EREBP
Glyma04g16700.1	AP2-EREBP
Glyma04g19650.1	AP2-EREBP
Glyma04g21710.1	AP2-EREBP
Glyma04g24010.1	AP2-EREBP
Glyma04g37870.1	AP2-EREBP
Glyma04g37890.1	AP2-EREBP
Glyma04g39510.1	AP2-EREBP
Glyma04g41740.1	AP2-EREBP
Glyma04g43040.1	AP2-EREBP
Glyma05g03540.1	AP2-EREBP
Glyma05g03560.1	AP2-EREBP
Glyma05g04920.1	AP2-EREBP
Glyma05g05130.1	AP2-EREBP
Glyma05g05180.1	AP2-EREBP
Glyma05g07690.1	AP2-EREBP
Glyma05g18110.1	AP2-EREBP
Glyma05g18170.1	AP2-EREBP
Glyma05g19050.1	AP2-EREBP
Glyma05g22970.1	AP2-EREBP
Glyma05g29010.1	AP2-EREBP
Glyma05g31370.1	AP2-EREBP
Glyma05g32040.1	AP2-EREBP
Glyma05g33440.1	AP2-EREBP
Glyma05g35740.1	AP2-EREBP
Glyma05g37120.1	AP2-EREBP
Glyma06g03110.1	AP2-EREBP
Glyma06g04490.1	AP2-EREBP
Glyma06g05170.1	AP2-EREBP
Glyma06g06100.1	AP2-EREBP
Glyma06g06780.1	AP2-EREBP
Glyma06g07240.1	AP2-EREBP
Glyma06g07240.2	AP2-EREBP
Glyma06g08990.1	AP2-EREBP
Glyma06g11010.1	AP2-EREBP
Glyma06g11700.1	AP2-EREBP
Glyma06g13040.1	AP2-EREBP
Glyma06g17180.1	AP2-EREBP
Glyma06g29100.1	AP2-EREBP
Glyma06g29110.1	AP2-EREBP
Glyma06g30840.1	AP2-EREBP
Glyma06g35710.1	AP2-EREBP
Glyma06g37980.1	AP2-EREBP
Glyma06g40010.1	AP2-EREBP
Glyma06g44430.1	AP2-EREBP
Glyma06g45010.1	AP2-EREBP
Glyma06g45680.1	AP2-EREBP
Glyma07g02000.1	AP2-EREBP
Glyma07g02380.1	AP2-EREBP
Glyma07g02930.1	AP2-EREBP
Glyma07g03040.1	AP2-EREBP
Glyma07g03500.1	AP2-EREBP
Glyma07g04260.1	AP2-EREBP
Glyma07g04950.1	AP2-EREBP
Glyma07g04950.2	AP2-EREBP
Glyma07g04950.3	AP2-EREBP
Glyma07g04950.4	AP2-EREBP
Glyma07g06080.1	AP2-EREBP
Glyma07g08540.1	AP2-EREBP
Glyma07g10120.1	AP2-EREBP
Glyma07g13980.1	AP2-EREBP
Glyma07g14060.1	AP2-EREBP
Glyma07g14070.1	AP2-EREBP
Glyma07g14560.1	AP2-EREBP
Glyma07g19220.1	AP2-EREBP
Glyma07g23240.1	AP2-EREBP
Glyma07g29700.1	AP2-EREBP
Glyma07g31990.1	AP2-EREBP
Glyma07g32000.1	AP2-EREBP
Glyma07g33510.1	AP2-EREBP
Glyma07g37410.1	AP2-EREBP
Glyma07g37990.1	AP2-EREBP
Glyma08g02460.1	AP2-EREBP
Glyma08g03910.1	AP2-EREBP
Glyma08g04550.1	AP2-EREBP
Glyma08g12130.1	AP2-EREBP
Glyma08g14600.1	AP2-EREBP
Glyma08g15350.1	AP2-EREBP
Glyma08g15830.1	AP2-EREBP
Glyma08g21650.1	AP2-EREBP
Glyma08g22590.1	AP2-EREBP
Glyma08g23070.1	AP2-EREBP
Glyma08g23160.1	AP2-EREBP
Glyma08g23630.1	AP2-EREBP
Glyma08g23630.2	AP2-EREBP
Glyma08g24420.1	AP2-EREBP
Glyma08g28820.1	AP2-EREBP
Glyma08g38170.1	AP2-EREBP
Glyma08g38190.1	AP2-EREBP
Glyma08g38800.1	AP2-EREBP
Glyma08g40830.1	AP2-EREBP
Glyma08g43300.1	AP2-EREBP
Glyma08g46250.1	AP2-EREBP
Glyma08g46250.2	AP2-EREBP
Glyma09g04630.1	AP2-EREBP
Glyma09g05840.1	AP2-EREBP
Glyma09g05850.1	AP2-EREBP
Glyma09g05860.1	AP2-EREBP
Glyma09g08330.1	AP2-EREBP
Glyma09g27180.1	AP2-EREBP
Glyma09g32730.1	AP2-EREBP
Glyma09g33240.1	AP2-EREBP
Glyma09g36840.1	AP2-EREBP
Glyma09g37540.1	AP2-EREBP
Glyma09g37780.1	AP2-EREBP
Glyma09g38370.1	AP2-EREBP
Glyma10g00980.1	AP2-EREBP
Glyma10g00990.1	AP2-EREBP
Glyma10g02080.1	AP2-EREBP
Glyma10g04160.1	AP2-EREBP
Glyma10g04170.1	AP2-EREBP
Glyma10g04190.1	AP2-EREBP
Glyma10g04210.1	AP2-EREBP
Glyma10g06860.1	AP2-EREBP
Glyma10g07000.1	AP2-EREBP
Glyma10g07740.1	AP2-EREBP
Glyma10g07770.1	AP2-EREBP
Glyma10g10420.1	AP2-EREBP
Glyma10g21850.1	AP2-EREBP
Glyma10g22390.1	AP2-EREBP
Glyma10g23440.1	AP2-EREBP
Glyma10g23460.1	AP2-EREBP
Glyma10g24220.1	AP2-EREBP
Glyma10g31440.1	AP2-EREBP
Glyma10g33060.1	AP2-EREBP
Glyma10g33070.1	AP2-EREBP
Glyma10g33080.1	AP2-EREBP
Glyma10g33700.1	AP2-EREBP
Glyma10g33810.1	AP2-EREBP
Glyma10g34760.1	AP2-EREBP
Glyma10g36300.1	AP2-EREBP
Glyma10g36760.1	AP2-EREBP
Glyma10g38420.1	AP2-EREBP
Glyma10g38440.1	AP2-EREBP
Glyma10g42130.1	AP2-EREBP
Glyma10g42130.2	AP2-EREBP
Glyma11g01640.1	AP2-EREBP
Glyma11g01700.1	AP2-EREBP
Glyma11g02050.1	AP2-EREBP
Glyma11g02140.1	AP2-EREBP
Glyma11g03790.1	AP2-EREBP
Glyma11g03900.1	AP2-EREBP
Glyma11g03910.1	AP2-EREBP
Glyma11g04910.1	AP2-EREBP
Glyma11g05700.1	AP2-EREBP
Glyma11g05720.1	AP2-EREBP
Glyma11g14040.1	AP2-EREBP
Glyma11g14040.2	AP2-EREBP
Glyma11g15650.1	AP2-EREBP
Glyma11g15650.2	AP2-EREBP
Glyma11g15650.3	AP2-EREBP
Glyma11g16420.1	AP2-EREBP
Glyma11g18690.1	AP2-EREBP
Glyma11g19340.1	AP2-EREBP
Glyma11g31400.1	AP2-EREBP
Glyma12g06010.1	AP2-EREBP
Glyma12g07800.1	AP2-EREBP
Glyma12g07800.2	AP2-EREBP
Glyma12g09130.1	AP2-EREBP
Glyma12g11150.1	AP2-EREBP
Glyma12g11150.2	AP2-EREBP
Glyma12g12270.1	AP2-EREBP
Glyma12g13320.1	AP2-EREBP
Glyma12g23070.1	AP2-EREBP
Glyma12g26780.1	AP2-EREBP
Glyma12g30710.1	AP2-EREBP
Glyma12g30740.1	AP2-EREBP
Glyma12g32400.1	AP2-EREBP
Glyma12g33020.1	AP2-EREBP
Glyma12g35550.1	AP2-EREBP
Glyma13g00950.1	AP2-EREBP
Glyma13g01930.1	AP2-EREBP
Glyma13g02860.1	AP2-EREBP
Glyma13g05690.1	AP2-EREBP
Glyma13g08490.1	AP2-EREBP
Glyma13g08750.1	AP2-EREBP
Glyma13g17250.1	AP2-EREBP
Glyma13g18330.1	AP2-EREBP
Glyma13g18340.1	AP2-EREBP
Glyma13g18350.1	AP2-EREBP
Glyma13g18370.1	AP2-EREBP
Glyma13g18390.1	AP2-EREBP
Glyma13g18400.1	AP2-EREBP
Glyma13g18410.1	AP2-EREBP
Glyma13g21560.1	AP2-EREBP
Glyma13g21570.1	AP2-EREBP
Glyma13g23570.1	AP2-EREBP
Glyma13g28810.1	AP2-EREBP
Glyma13g29920.1	AP2-EREBP
Glyma13g30710.1	AP2-EREBP
Glyma13g30720.1	AP2-EREBP
Glyma13g30990.1	AP2-EREBP
Glyma13g31010.1	AP2-EREBP
Glyma13g33440.1	AP2-EREBP
Glyma13g34920.1	AP2-EREBP
Glyma13g37450.1	AP2-EREBP
Glyma13g38030.1	AP2-EREBP
Glyma13g39540.1	AP2-EREBP
Glyma13g40470.1	AP2-EREBP
Glyma13g40470.3	AP2-EREBP
Glyma13g43210.1	AP2-EREBP
Glyma13g44660.1	AP2-EREBP
Glyma14g02360.1	AP2-EREBP
Glyma14g05470.1	AP2-EREBP
Glyma14g05470.2	AP2-EREBP
Glyma14g06080.1	AP2-EREBP
Glyma14g06290.1	AP2-EREBP
Glyma14g07620.1	AP2-EREBP
Glyma14g09320.1	AP2-EREBP
Glyma14g10130.1	AP2-EREBP
Glyma14g13470.1	AP2-EREBP
Glyma14g13890.1	AP2-EREBP
Glyma14g22740.1	AP2-EREBP
Glyma14g22970.1	AP2-EREBP
Glyma14g27060.1	AP2-EREBP
Glyma14g29040.1	AP2-EREBP
Glyma14g32210.1	AP2-EREBP
Glyma14g34590.1	AP2-EREBP
Glyma14g38610.1	AP2-EREBP
Glyma15g00660.1	AP2-EREBP
Glyma15g01140.1	AP2-EREBP
Glyma15g02130.1	AP2-EREBP
Glyma15g02900.1	AP2-EREBP
Glyma15g04930.1	AP2-EREBP
Glyma15g04930.2	AP2-EREBP
Glyma15g08360.1	AP2-EREBP
Glyma15g08370.1	AP2-EREBP
Glyma15g08560.1	AP2-EREBP
Glyma15g08580.1	AP2-EREBP
Glyma15g09190.1	AP2-EREBP
Glyma15g10250.1	AP2-EREBP
Glyma15g16260.1	AP2-EREBP
Glyma15g17090.1	AP2-EREBP
Glyma15g17100.1	AP2-EREBP
Glyma15g19910.1	AP2-EREBP
Glyma15g23560.1	AP2-EREBP
Glyma15g34770.1	AP2-EREBP
Glyma15g41180.1	AP2-EREBP
Glyma16g00950.1	AP2-EREBP
Glyma16g01500.1	AP2-EREBP
Glyma16g01500.2	AP2-EREBP
Glyma16g01500.3	AP2-EREBP
Glyma16g01500.4	AP2-EREBP
Glyma16g02680.1	AP2-EREBP
Glyma16g04410.1	AP2-EREBP
Glyma16g05070.1	AP2-EREBP
Glyma16g05190.1	AP2-EREBP
Glyma16g08690.1	AP2-EREBP
Glyma16g26320.1	AP2-EREBP
Glyma16g26460.1	AP2-EREBP
Glyma16g27040.1	AP2-EREBP
Glyma16g27950.1	AP2-EREBP
Glyma16g32330.1	AP2-EREBP
Glyma17g02710.1	AP2-EREBP
Glyma17g05240.1	AP2-EREBP
Glyma17g07010.1	AP2-EREBP
Glyma17g07860.1	AP2-EREBP
Glyma17g12330.1	AP2-EREBP
Glyma17g13320.1	AP2-EREBP
Glyma17g14100.1	AP2-EREBP
Glyma17g14110.1	AP2-EREBP
Glyma17g15310.1	AP2-EREBP
Glyma17g15460.1	AP2-EREBP
Glyma17g15480.1	AP2-EREBP
Glyma17g16080.1	AP2-EREBP
Glyma17g17010.1	AP2-EREBP
Glyma17g18580.1	AP2-EREBP
Glyma17g18610.1	AP2-EREBP
Glyma17g18640.1	AP2-EREBP
Glyma17g18640.2	AP2-EREBP
Glyma17g27520.1	AP2-EREBP
Glyma17g31900.1	AP2-EREBP
Glyma17g33060.1	AP2-EREBP
Glyma17g33530.1	AP2-EREBP
Glyma17g35860.1	AP2-EREBP
Glyma17g37350.1	AP2-EREBP
Glyma18g02170.1	AP2-EREBP
Glyma18g10290.1	AP2-EREBP
Glyma18g16240.1	AP2-EREBP
Glyma18g20960.1	AP2-EREBP
Glyma18g29400.1	AP2-EREBP
Glyma18g29410.1	AP2-EREBP
Glyma18g33460.1	AP2-EREBP
Glyma18g43750.1	AP2-EREBP
Glyma18g47980.1	AP2-EREBP
Glyma18g48720.1	AP2-EREBP
Glyma18g48730.1	AP2-EREBP
Glyma18g48740.1	AP2-EREBP
Glyma18g49100.1	AP2-EREBP
Glyma18g49760.1	AP2-EREBP
Glyma18g51680.1	AP2-EREBP
Glyma19g03120.1	AP2-EREBP
Glyma19g03170.1	AP2-EREBP
Glyma19g04420.1	AP2-EREBP
Glyma19g27790.1	AP2-EREBP
Glyma19g29000.1	AP2-EREBP
Glyma19g31960.1	AP2-EREBP
Glyma19g32380.1	AP2-EREBP
Glyma19g32520.1	AP2-EREBP
Glyma19g34650.1	AP2-EREBP
Glyma19g34660.1	AP2-EREBP
Glyma19g34670.1	AP2-EREBP
Glyma19g34680.1	AP2-EREBP
Glyma19g34690.1	AP2-EREBP
Glyma19g36200.1	AP2-EREBP
Glyma19g37670.1	AP2-EREBP
Glyma19g40070.1	AP2-EREBP
Glyma19g43820.1	AP2-EREBP
Glyma19g44240.1	AP2-EREBP
Glyma19g44580.1	AP2-EREBP
Glyma19g45200.1	AP2-EREBP
Glyma20g03890.1	AP2-EREBP
Glyma20g16910.1	AP2-EREBP
Glyma20g16920.1	AP2-EREBP
Glyma20g24920.1	AP2-EREBP
Glyma20g24920.2	AP2-EREBP
Glyma20g29410.1	AP2-EREBP
Glyma20g29440.1	AP2-EREBP
Glyma20g30840.1	AP2-EREBP
Glyma20g31300.1	AP2-EREBP
Glyma20g32730.1	AP2-EREBP
Glyma20g33800.1	AP2-EREBP
Glyma20g33840.1	AP2-EREBP
Glyma20g33890.1	AP2-EREBP
Glyma20g34550.1	AP2-EREBP
Glyma20g34560.1	AP2-EREBP
Glyma20g34570.1	AP2-EREBP
Glyma20g35820.1	AP2-EREBP
Glyma20g39140.1	AP2-EREBP
Glyma18g05780.1	ND
Glyma02g40650.1	ABI3-VP1
Glyma04g37760.1	ABI3-VP1
Glyma05g38540.3	ABI3-VP1
Glyma06g17320.1	ABI3-VP1
Glyma06g17320.2	ABI3-VP1
Glyma01g00510.1	ARF
Glyma01g25270.1	ARF
Glyma01g25270.2	ARF
Glyma01g25270.3	ARF
Glyma02g31040.1	ARF
Glyma02g40650.2	ARF
Glyma02g45100.1	ARF
Glyma03g17450.1	ARF
Glyma03g36710.1	ARF
Glyma03g41920.1	ARF
Glyma04g43350.1	ARF
Glyma05g27580.1	ARF
Glyma05g36430.1	ARF
Glyma06g11320.1	ARF
Glyma07g06060.1	ARF
Glyma07g15640.1	ARF
Glyma07g15640.2	ARF
Glyma07g16170.1	ARF
Glyma07g32300.1	ARF
Glyma07g40270.1	ARF
Glyma08g01100.2	ARF
Glyma08g01100.3	ARF
Glyma08g03140.1	ARF
Glyma08g03140.2	ARF
Glyma08g10550.1	ARF
Glyma08g10550.2	ARF
Glyma09g08350.1	ARF
Glyma10g06080.1	ARF
Glyma10g35480.1	ARF
Glyma11g15910.1	ARF
Glyma11g20490.1	ARF
Glyma11g31940.1	ARF
Glyma12g07560.1	ARF
Glyma12g08110.1	ARF
Glyma12g28550.1	ARF
Glyma12g29280.1	ARF
Glyma12g29280.2	ARF
Glyma12g29280.3	ARF
Glyma12g29720.1	ARF
Glyma13g02410.1	ARF
Glyma13g17270.1	ARF
Glyma13g20370.1	ARF
Glyma13g20370.2	ARF
Glyma13g24240.1	ARF
Glyma13g29320.1	ARF
Glyma13g29320.2	ARF
Glyma13g30750.1	ARF
Glyma13g30750.2	ARF
Glyma13g40030.1	ARF
Glyma13g40310.1	ARF
Glyma14g03650.1	ARF
Glyma14g03650.2	ARF
Glyma14g33730.1	ARF
Glyma14g38940.1	ARF
Glyma14g40540.1	ARF
Glyma15g08540.1	ARF
Glyma15g09750.1	ARF
Glyma15g19980.1	ARF
Glyma16g00220.1	ARF
Glyma16g02650.1	ARF
Glyma17g05220.1	ARF
Glyma17g37580.1	ARF
Glyma18g05330.1	ARF
Glyma18g40180.1	ARF
Glyma19g36570.1	ARF
Glyma19g39340.1	ARF
Glyma20g32040.1	ARF
Glyma05g38540.1	AUX-IAA
Glyma05g38540.2	AUX-IAA
Glyma08g01100.1	AUX-IAA
Glyma01g36040.1	ARID
Glyma04g01560.1	ARID
Glyma04g02210.1	ARID
Glyma04g12530.1	ARID
Glyma05g10630.1	ARID
Glyma06g01640.1	ARID
Glyma06g48010.1	ARID
Glyma07g05050.1	ARID
Glyma07g07530.1	ARID
Glyma08g01950.1	ARID
Glyma09g08690.1	ARID
Glyma09g32820.1	ARID
Glyma09g39360.1	ARID
Glyma10g44040.1	ARID
Glyma11g09370.1	ARID
Glyma11g09370.2	ARID
Glyma15g20380.1	ARID
Glyma16g01560.1	ARID
Glyma16g21840.1	ARID
Glyma16g21840.2	ARID
Glyma18g46950.1	ARID
Glyma17g22820.1	C2H2
Glyma17g22840.1	C2H2
Glyma04g32690.1	FHA
Glyma06g21780.1	FHA
Glyma01g31130.1	GARP-G2-like
Glyma13g36620.1	GARP-G2-like
Glyma19g05390.1	GARP-G2-like
Glyma19g32840.1	GARP-G2-like
Glyma01g05190.1	MYB
Glyma02g02310.1	MYB
Glyma05g32270.1	MYB
Glyma08g20150.1	MYB
Glyma08g20150.2	MYB
Glyma12g12990.1	MYB
Glyma12g29030.1	MYB
Glyma18g16040.1	MYB
Glyma02g05420.1	MYB-related
Glyma02g40800.1	MYB-related
Glyma03g38020.1	MYB-related
Glyma04g01600.1	MYB-related
Glyma04g01600.2	MYB-related
Glyma04g42200.1	MYB-related
Glyma04g42200.2	MYB-related
Glyma04g42200.3	MYB-related
Glyma04g42590.1	MYB-related
Glyma06g01680.1	MYB-related
Glyma06g12170.1	MYB-related
Glyma06g12600.1	MYB-related
Glyma06g24730.1	MYB-related
Glyma07g37960.1	MYB-related
Glyma07g38050.1	MYB-related
Glyma07g38050.2	MYB-related
Glyma08g15540.1	MYB-related
Glyma08g15870.1	MYB-related
Glyma09g01500.1	MYB-related
Glyma10g06560.1	MYB-related
Glyma10g29480.1	MYB-related
Glyma10g29480.2	MYB-related
Glyma10g35670.1	MYB-related
Glyma11g01290.1	MYB-related
Glyma11g01290.2	MYB-related
Glyma11g01290.3	MYB-related
Glyma11g12640.1	MYB-related
Glyma11g33180.1	MYB-related
Glyma12g04840.1	MYB-related
Glyma13g04260.1	MYB-related
Glyma13g04280.1	MYB-related
Glyma13g10120.1	MYB-related
Glyma13g11160.1	MYB-related
Glyma13g11200.1	MYB-related
Glyma13g25380.1	MYB-related
Glyma13g28720.1	MYB-related
Glyma13g31800.1	MYB-related
Glyma14g08090.1	MYB-related
Glyma14g24290.1	MYB-related
Glyma14g39130.1	MYB-related
Glyma15g07500.1	MYB-related
Glyma15g10370.1	MYB-related
Glyma15g12400.1	MYB-related
Glyma15g12400.2	MYB-related
Glyma15g42440.1	MYB-related
Glyma16g14060.1	MYB-related
Glyma16g23840.1	MYB-related
Glyma16g23840.2	MYB-related
Glyma17g02640.1	MYB-related
Glyma17g02740.1	MYB-related
Glyma17g18930.1	MYB-related
Glyma17g21820.1	MYB-related
Glyma17g22170.1	MYB-related
Glyma17g22750.1	MYB-related
Glyma17g22850.1	MYB-related
Glyma17g22870.1	MYB-related
Glyma17g22920.1	MYB-related
Glyma17g22990.1	MYB-related
Glyma18g05050.1	MYB-related
Glyma18g05900.1	MYB-related
Glyma18g31990.1	MYB-related
Glyma19g40630.1	MYB-related
Glyma20g06630.1	MYB-related
Glyma20g08230.1	MYB-related
Glyma20g31870.1	MYB-related
Glyma20g32620.1	MYB-related
Glyma20g37820.1	MYB-related
Glyma08g05630.1	Trihelix
Glyma09g38050.1	Trihelix
Glyma09g38050.2	Trihelix
Glyma09g08350.2	ARF
Glyma13g17270.2	ARF
Glyma01g02350.1	AUX-IAA
Glyma01g02350.2	AUX-IAA
Glyma01g02350.3	AUX-IAA
Glyma01g04620.1	AUX-IAA
Glyma01g24100.1	AUX-IAA
Glyma02g00260.1	AUX-IAA
Glyma02g01010.1	AUX-IAA
Glyma02g16070.1	AUX-IAA
Glyma02g16080.1	AUX-IAA
Glyma02g16090.1	AUX-IAA
Glyma02g16090.2	AUX-IAA
Glyma02g38260.1	AUX-IAA
Glyma02g38260.2	AUX-IAA
Glyma02g38260.3	AUX-IAA
Glyma02g38260.4	AUX-IAA
Glyma03g31520.1	AUX-IAA
Glyma03g31530.1	AUX-IAA
Glyma03g32450.1	AUX-IAA
Glyma03g38370.1	AUX-IAA
Glyma03g40760.1	AUX-IAA
Glyma04g04950.1	AUX-IAA
Glyma04g07040.1	AUX-IAA
Glyma04g09550.1	AUX-IAA
Glyma05g35640.1	AUX-IAA
Glyma06g07130.1	AUX-IAA
Glyma06g09650.1	AUX-IAA
Glyma07g01800.1	AUX-IAA
Glyma07g02080.1	AUX-IAA
Glyma07g03840.1	AUX-IAA
Glyma08g04070.1	AUX-IAA
Glyma08g21460.1	AUX-IAA
Glyma08g21740.1	AUX-IAA
Glyma08g21740.2	AUX-IAA
Glyma08g22190.1	AUX-IAA
Glyma08g37070.1	AUX-IAA
Glyma08g38810.1	AUX-IAA
Glyma09g32570.1	AUX-IAA
Glyma09g33630.1	AUX-IAA
Glyma09g33630.2	AUX-IAA
Glyma09g33630.3	AUX-IAA
Glyma10g00290.1	AUX-IAA
Glyma10g03710.1	AUX-IAA
